Building archetype ID,Sector,Fuel,Size,Floor area (m2),Stock,Annual space heating demand (kWh/m2),Annual hot water demand (kWh/m2),Total Heat demand (kWh)
49,Industrial,Gas,Large," 7,323,080 "," 2,742 ",81.7,2.0," 612,736,812 "
50,Industrial,Gas,Medium," 5,948,766 "," 24,389 ",81.7,2.0," 497,745,175 "
51,Industrial,Gas,small," 243,329 "," 5,710 ",81.7,2.0," 20,359,850 "
52,Industrial,Other,Large," 782,633 ", 390 ,81.7,2.0," 65,484,468 "
53,Industrial,Other,Medium," 2,335,013 "," 10,475 ",81.7,2.0," 195,375,238 "
54,Industrial,Other,small," 67,574 "," 1,599 ",81.7,2.0," 5,654,064 "
55,Offices,Electricity,Large," 793,017 ", 785 ,65.3,8.7," 58,665,293 "
56,Offices,Electricity,Medium," 13,065,131 "," 111,067 ",65.3,8.7," 966,524,191 "
57,Offices,Electricity,small," 319,434 "," 12,372 ",65.3,8.7," 23,630,902 "
58,Offices,Gas,Large," 20,009,644 "," 12,270 ",82.3,10.9," 1,864,308,672 "
59,Offices,Gas,Medium," 13,027,930 "," 98,955 ",82.3,10.9," 1,213,818,862 "
60,Offices,Gas,small," 442,046 "," 17,578 ",82.3,10.9," 41,185,625 "
61,Offices,Other,Large," 7,120,849 "," 3,205 ",82.3,10.9," 663,453,139 "
62,Offices,Other,Medium," 4,444,004 "," 29,765 ",82.3,10.9," 414,050,094 "
63,Offices,Other,small," 29,053 "," 1,190 ",82.3,10.9," 2,706,922 "
64,Retail,Electricity,Large," 5,205,780 "," 12,156 ",66.6,2.6," 360,124,702 "
65,Retail,Electricity,Medium," 11,983,361 "," 107,533 ",66.6,2.6," 828,983,268 "
66,Retail,Electricity,small," 146,865 "," 10,276 ",66.6,2.6," 10,159,825 "
67,Retail,Gas,Large," 17,446,991 "," 11,614 ",83.9,3.3," 1,520,082,579 "
68,Retail,Gas,Medium," 2,233,468 "," 20,632 ",83.9,3.3," 194,592,599 "
69,Retail,Gas,small," 101,457 "," 7,004 ",83.9,3.3," 8,839,500 "
70,Retail,Other,Large," 4,310,896 "," 3,390 ",83.9,3.3," 375,590,141 "
71,Retail,Other,Medium," 739,747 "," 5,433 ",83.9,3.3," 64,451,026 "
72,Retail,Other,small," 6,389 ", 433 ,83.9,3.3," 556,688 "
73,Storage,Electricity,Large," 579,631 ", 248 ,29.1,1.6," 17,830,298 "
74,Storage,Electricity,Medium," 4,625,673 "," 15,869 ",29.1,1.6," 142,292,528 "
75,Storage,Electricity,small," 206,331 "," 3,525 ",29.1,1.6," 6,347,057 "
76,Storage,Gas,Large," 11,708,493 "," 2,144 ",36.7,2.0," 453,615,285 "
77,Storage,Gas,Medium," 7,790,157 "," 20,198 ",36.7,2.0," 301,809,474 "
78,Storage,Gas,small," 347,240 "," 6,029 ",36.7,2.0," 13,452,928 "
79,Storage,Other,Large," 25,538,614 "," 5,168 ",36.7,2.0," 989,427,530 "
80,Storage,Other,Medium," 4,974,616 "," 7,479 ",36.7,2.0," 192,728,632 "
81,Storage,Other,small," 20,600 ", 348 ,36.7,2.0," 798,079 "
