Domestic existing building stock and tenure split,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,All stock,Owned or share owned share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,,,,,,
,scenario,All,All,All,All,All,All,,,,,,
,year,2020,2020,2020,2020,2020,2020,,,,,,
,sector,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,,,,,,
,,,,,,,,,,,,,
,LSOA Code,All stock,Owner occupied share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,LAD20NM,CTYUA19CD,CTYUA19NM,LEP20CD,LEP20NM,Licence area
,E01000068,502,0.7619,0.0238,0.2143,0.9448,0.1680,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000069,517,0.8655,0.0117,0.1228,0.9629,0.1430,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000070,602,0.7826,0.0602,0.1572,0.8644,0.1400,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000071,884,0.6293,0.1439,0.2268,0.7477,0.1140,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000072,752,0.3406,0.4477,0.2117,0.7737,0.1200,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000073,642,0.5104,0.3110,0.1786,0.9375,0.1070,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000074,633,0.4213,0.4229,0.1558,0.9232,0.1040,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000075,635,0.5595,0.3232,0.1174,0.8566,0.1560,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000076,735,0.4155,0.4282,0.1563,0.9758,0.1140,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000077,615,0.4589,0.3607,0.1804,0.9751,0.1250,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000078,634,0.4422,0.3945,0.1633,0.9197,0.1260,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000079,624,0.4828,0.3727,0.1445,0.8955,0.1190,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000080,600,0.4865,0.3586,0.1549,0.9066,0.1200,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000081,634,0.5463,0.3071,0.1466,0.9649,0.1130,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000082,647,0.4688,0.3973,0.1339,0.8933,0.1180,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000083,644,0.4928,0.3529,0.1542,0.9886,0.1210,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000084,524,0.4120,0.4139,0.1741,0.9668,0.1220,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000085,616,0.3609,0.4469,0.1922,0.9362,0.1280,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000086,526,0.4941,0.3839,0.1220,0.9814,0.1160,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000087,498,0.4692,0.3260,0.2048,0.9222,0.1470,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000088,621,0.6094,0.1156,0.2750,0.8264,0.1380,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000089,637,0.6846,0.0784,0.2369,0.9384,0.1260,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
