Domestic existing building stock and tenure split,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,All stock,Owned or share owned share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,,,,,,
,scenario,All,All,All,All,All,All,,,,,,
,year,2020,2020,2020,2020,2020,2020,,,,,,
,sector,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,,,,,,
,,,,,,,,,,,,,
,LSOA Code,All stock,Owner occupied share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,LAD20NM,CTYUA19CD,CTYUA19NM,LEP20CD,LEP20NM,Licence area
,E01016083,594,0.4509,0.4491,0.1000,0.6928,0.0960,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016084,518,0.5945,0.3158,0.0897,0.8958,0.0870,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016085,680,0.9303,0.0015,0.0681,0.9377,0.0560,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016086,525,0.9599,0.0100,0.0301,0.9124,0.0430,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016087,709,0.8314,0.0072,0.1614,0.8695,0.0820,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016088,609,0.7722,0.1491,0.0787,0.9787,0.0890,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016089,665,0.7811,0.1109,0.1079,0.8474,0.0700,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016090,623,0.9097,0.0066,0.0837,1.0000,0.0750,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016091,623,0.8974,0.0651,0.0375,0.9751,0.0670,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016092,649,0.9048,0.0048,0.0905,0.9474,0.0650,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016093,739,0.9308,0.0060,0.0632,0.8981,0.0720,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016094,651,0.8279,0.0390,0.1331,0.9288,0.0660,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016095,555,0.8356,0.0574,0.1071,0.9187,0.0520,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016096,680,0.8926,0.0174,0.0900,0.9784,0.0800,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016097,650,0.6641,0.1507,0.1852,0.8769,0.0820,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016098,729,0.4809,0.1686,0.3504,0.7604,0.1020,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016099,629,0.8213,0.0177,0.1610,1.0000,0.0550,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016100,686,0.6971,0.1674,0.1355,0.9810,0.0630,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016101,572,0.8425,0.0124,0.1451,1.0000,0.0670,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016102,653,0.5065,0.3306,0.1629,0.9216,0.0800,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016103,677,0.8870,0.0052,0.1078,0.8735,0.0590,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016104,577,0.8887,0.0035,0.1078,0.9793,0.0560,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016105,584,0.8716,0.0118,0.1166,0.9411,0.0720,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016106,578,0.8257,0.0508,0.1235,0.9846,0.0710,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016107,604,0.8688,0.0066,0.1246,0.8731,0.0520,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016110,1379,0.2859,0.2042,0.5099,0.4772,0.1140,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016111,752,0.2447,0.3873,0.3680,0.5430,0.1090,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016112,1584,0.7005,0.0559,0.2435,0.8221,0.0330,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016113,616,0.8027,0.0585,0.1388,0.9806,0.0880,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016114,653,0.5762,0.1768,0.2470,0.8917,0.1230,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016115,789,0.6418,0.2588,0.0993,0.9390,0.0950,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016116,762,0.5918,0.3131,0.0951,0.9197,0.1020,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016117,973,0.2999,0.3679,0.3322,0.5879,0.1080,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016118,779,0.6729,0.0279,0.2992,0.9410,0.0980,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016119,567,0.8703,0.0564,0.0733,0.9842,0.0560,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016120,575,0.6074,0.2768,0.1158,0.9383,0.0900,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016121,635,0.8828,0.0250,0.0922,0.9690,0.0760,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016122,973,0.9060,0.0113,0.0827,0.8229,0.0850,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016123,650,0.7906,0.0866,0.1228,0.9287,0.0750,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016124,708,0.7935,0.0505,0.1560,0.9334,0.0740,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016125,657,0.7415,0.0170,0.2415,0.8631,0.0850,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016126,611,0.8760,0.0440,0.0799,0.9810,0.0760,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016127,653,0.6865,0.1291,0.1844,0.7570,0.0850,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016128,606,0.7321,0.1670,0.1009,0.9414,0.1010,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016129,998,0.4357,0.2605,0.3038,0.7191,0.0460,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016130,955,0.4772,0.1326,0.3902,0.6134,0.0810,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016131,697,0.5900,0.1711,0.2388,0.6922,0.0790,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016132,690,0.8719,0.0203,0.1078,0.9086,0.0700,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016133,564,0.9425,0.0056,0.0519,1.0000,0.0830,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016134,531,0.8156,0.1160,0.0684,0.9778,0.0660,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016135,635,0.7821,0.0545,0.1635,0.9369,0.1000,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016136,710,0.5513,0.2420,0.2067,0.7564,0.0970,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016137,661,0.6205,0.0619,0.3176,0.9558,0.1170,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016138,598,0.9223,0.0034,0.0743,0.9776,0.0820,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016139,644,0.8588,0.0390,0.1023,0.9524,0.0890,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016140,623,0.5470,0.1342,0.3188,0.7221,0.1110,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016141,811,0.6335,0.0304,0.3361,0.8544,0.1170,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016142,546,0.8595,0.0204,0.1202,0.7654,0.1190,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016143,1066,0.7092,0.1623,0.1286,0.8023,0.0640,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016144,590,0.8313,0.0678,0.1009,0.7561,0.0850,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016145,511,0.8948,0.0474,0.0577,0.7992,0.0750,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016146,1246,0.6209,0.2864,0.0927,0.6737,0.0970,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016147,755,0.8726,0.0149,0.1125,0.8944,0.0820,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016148,833,0.8906,0.0233,0.0862,0.9297,0.0640,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016149,574,0.6706,0.2014,0.1280,0.7462,0.1230,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016150,634,0.6013,0.2735,0.1252,0.9198,0.1120,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016151,652,0.7560,0.1011,0.1429,0.9661,0.0940,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016152,671,0.5411,0.3687,0.0902,0.8798,0.1000,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016153,645,0.4629,0.4152,0.1219,0.6727,0.0990,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016154,714,0.7114,0.0694,0.2191,0.7984,0.1200,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016155,622,0.6753,0.2439,0.0808,0.9315,0.0950,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016156,682,0.7754,0.0926,0.1320,0.9796,0.0600,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016157,852,0.7378,0.1260,0.1362,0.9683,0.0890,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016158,1017,0.7489,0.1705,0.0807,0.9442,0.0750,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016159,555,0.4648,0.4414,0.0938,0.9300,0.1130,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016160,643,0.5425,0.3546,0.1029,0.9525,0.1120,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016161,765,0.4051,0.4980,0.0969,0.8889,0.1040,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016162,660,0.8318,0.0432,0.1250,0.9776,0.0720,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016163,525,0.7307,0.2040,0.0653,0.9438,0.1000,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016164,659,0.6053,0.2864,0.1084,0.9503,0.0970,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016165,528,0.8192,0.0846,0.0962,0.9705,0.0850,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016166,623,0.8655,0.0655,0.0690,0.9175,0.0910,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016167,591,0.7986,0.1267,0.0747,0.9817,0.0910,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016168,697,0.6793,0.2416,0.0790,0.9691,0.0810,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016169,643,0.8887,0.0219,0.0893,0.9434,0.0790,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016170,642,0.7934,0.0300,0.1767,0.9200,0.0630,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016171,671,0.5878,0.3307,0.0815,0.9423,0.0950,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016172,629,0.9199,0.0085,0.0716,0.8336,0.0580,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016173,682,0.6435,0.2546,0.1019,0.8431,0.0810,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016174,522,0.7296,0.0233,0.2471,0.8419,0.1070,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016175,770,0.8685,0.0368,0.0948,0.9010,0.0780,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016176,585,0.9183,0.0070,0.0748,0.9646,0.0470,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016177,606,0.7040,0.0848,0.2112,0.9399,0.1240,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016178,558,0.7748,0.0180,0.2072,0.9217,0.1000,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016179,521,0.9030,0.0356,0.0614,0.9685,0.0850,Medway,E06000035,Medway,E37000056,South East,SPN
,E01016734,583,0.7563,0.1161,0.1277,0.7724,0.0760,Milton Keynes,E06000042,Milton Keynes,E37000057,South East Midlands,EPN
,E01016735,1272,0.7307,0.0679,0.2014,0.6877,0.0540,Milton Keynes,E06000042,Milton Keynes,E37000057,South East Midlands,EPN
,E01016736,658,0.7800,0.0846,0.1354,0.8086,0.0600,Milton Keynes,E06000042,Milton Keynes,E37000057,South East Midlands,EPN
,E01016800,710,0.7608,0.0720,0.1671,0.6818,0.0890,Milton Keynes,E06000042,Milton Keynes,E37000057,South East Midlands,EPN
,E01016849,936,0.4121,0.0314,0.5566,0.4693,0.1300,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016850,1026,0.3750,0.0515,0.5735,0.5019,0.1460,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016851,993,0.3952,0.0192,0.5857,0.4482,0.1350,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016852,944,0.2894,0.0311,0.6795,0.4116,0.1680,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016853,1120,0.3872,0.0395,0.5732,0.4351,0.1260,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016854,1005,0.2927,0.1658,0.5415,0.4356,0.1420,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016855,1017,0.3830,0.0294,0.5877,0.4740,0.1440,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016856,924,0.4241,0.0377,0.5382,0.3761,0.1120,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016857,893,0.4303,0.0419,0.5277,0.4630,0.1160,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016858,908,0.3679,0.0080,0.6241,0.4622,0.1160,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016859,1005,0.5971,0.0393,0.3636,0.4201,0.0710,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016860,899,0.3698,0.0830,0.5472,0.5144,0.1240,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016861,1015,0.4807,0.0518,0.4675,0.4832,0.1190,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016862,890,0.4959,0.0769,0.4272,0.5080,0.1030,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016863,999,0.3125,0.4063,0.2813,0.6290,0.0910,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016864,590,0.4144,0.4914,0.0942,0.6577,0.0860,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016865,584,0.1142,0.8322,0.0536,0.6047,0.0880,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016866,585,0.2362,0.6993,0.0646,0.8301,0.0900,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016867,666,0.3026,0.5991,0.0983,0.9465,0.1030,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016868,771,0.1344,0.7992,0.0665,0.8176,0.0940,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016869,940,0.5068,0.2237,0.2695,0.7623,0.1030,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016870,743,0.6294,0.0160,0.3547,0.5777,0.1190,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016871,1055,0.3324,0.0897,0.5779,0.3666,0.1070,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016872,952,0.4465,0.0478,0.5057,0.5798,0.1110,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016873,1073,0.3423,0.2305,0.4271,0.4852,0.0970,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016874,1184,0.5552,0.0271,0.4176,0.4195,0.0700,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016875,631,0.6717,0.0233,0.3050,0.6927,0.1330,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016876,957,0.5245,0.0527,0.4228,0.4648,0.0920,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016877,967,0.5397,0.0598,0.4004,0.4197,0.0790,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016878,941,0.6016,0.0616,0.3368,0.5783,0.1000,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016879,568,0.5538,0.3423,0.1039,0.9007,0.0920,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016880,516,0.3051,0.6020,0.0929,0.8049,0.1450,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016881,603,0.5372,0.2992,0.1636,0.7597,0.1040,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016882,636,0.5853,0.3094,0.1053,0.8773,0.0730,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016883,669,0.8608,0.0726,0.0666,0.9662,0.0690,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016884,625,0.6591,0.2224,0.1185,0.9347,0.1000,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016885,643,0.3021,0.5347,0.1632,0.7676,0.0950,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016886,620,0.7400,0.1525,0.1075,0.8623,0.0990,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016887,635,0.8320,0.0501,0.1179,0.8835,0.0890,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016888,604,0.8842,0.0221,0.0937,0.9006,0.0850,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016889,755,0.4599,0.0907,0.4494,0.6782,0.1710,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016890,909,0.3784,0.0656,0.5560,0.6151,0.1780,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016891,884,0.4348,0.1665,0.3988,0.6289,0.1740,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016892,656,0.6115,0.0494,0.3392,0.8745,0.1510,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016893,768,0.6805,0.0116,0.3079,0.8820,0.1350,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016894,729,0.4626,0.1975,0.3399,0.4631,0.1500,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016895,685,0.3697,0.5077,0.1227,0.9063,0.1530,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016896,721,0.5857,0.0414,0.3729,0.8376,0.1480,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016897,767,0.6124,0.0880,0.2996,0.7286,0.1430,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016898,754,0.5958,0.2668,0.1374,0.5649,0.1150,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016899,422,0.5792,0.2426,0.1782,0.0745,0.1760,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016900,764,0.2068,0.6518,0.1414,0.6297,0.1010,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016901,613,0.7872,0.0213,0.1915,0.8848,0.0960,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016902,614,0.6153,0.2756,0.1092,0.7908,0.0930,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016903,715,0.6536,0.0449,0.3014,0.8091,0.1690,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016904,726,0.2266,0.5848,0.1886,0.6567,0.1070,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016905,821,0.3362,0.4595,0.2042,0.6325,0.1100,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016906,603,0.3947,0.5240,0.0813,0.9459,0.1410,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016907,592,0.4318,0.2832,0.2850,0.9020,0.1890,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016908,584,0.2929,0.6031,0.1040,0.8671,0.1570,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016909,656,0.4359,0.2643,0.2998,0.9105,0.1700,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016910,504,0.2588,0.5656,0.1756,0.8353,0.1310,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016911,548,0.5764,0.2486,0.1750,0.8728,0.1260,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016912,780,0.4624,0.0968,0.4408,0.7823,0.1580,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016913,673,0.5556,0.0425,0.4020,0.8928,0.1820,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016914,492,0.2846,0.5534,0.1621,0.2693,0.1930,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016915,518,0.1543,0.6693,0.1764,0.9009,0.1810,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016916,619,0.8412,0.0393,0.1195,0.8399,0.0760,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016917,581,0.8824,0.0329,0.0848,0.9417,0.0720,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016918,612,0.4831,0.4307,0.0861,0.7664,0.0830,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016919,560,0.5735,0.3140,0.1125,0.8894,0.0520,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016920,646,0.8464,0.0298,0.1238,0.9740,0.0510,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016921,659,0.6531,0.2469,0.1000,0.8019,0.0830,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016922,566,0.6960,0.1969,0.1071,0.9272,0.0910,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016923,706,0.6904,0.1496,0.1600,0.6273,0.0670,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016924,595,0.8918,0.0206,0.0876,0.9054,0.0890,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016925,624,0.7059,0.1944,0.0997,0.8488,0.0910,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016926,616,0.5627,0.3762,0.0611,0.7830,0.0890,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016927,651,0.7987,0.0895,0.1118,0.9522,0.0710,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016928,697,0.8066,0.0211,0.1722,0.8490,0.0650,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016929,646,0.7715,0.1189,0.1095,0.8608,0.0790,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016930,787,0.8645,0.0316,0.1039,0.9798,0.0750,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016931,655,0.8976,0.0173,0.0850,0.9317,0.0900,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016932,698,0.6870,0.0713,0.2416,0.6293,0.1190,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016933,670,0.6299,0.0803,0.2898,0.6302,0.1310,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016934,524,0.8087,0.0341,0.1572,0.8179,0.1290,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016935,837,0.5486,0.1402,0.3112,0.5677,0.0780,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016936,801,0.6360,0.0292,0.3348,0.7141,0.1410,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016937,1233,0.4259,0.0736,0.5005,0.5257,0.1280,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016938,959,0.4709,0.0187,0.5104,0.5158,0.1160,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016939,608,0.8278,0.0083,0.1639,0.8745,0.0880,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016940,663,0.7451,0.0146,0.2403,0.7226,0.0930,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016941,1230,0.2683,0.2075,0.5242,0.4201,0.1710,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016942,1114,0.1957,0.6975,0.1068,0.3651,0.0780,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016943,713,0.5489,0.0603,0.3908,0.6769,0.1440,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016944,926,0.3805,0.0638,0.5557,0.4595,0.1550,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016945,949,0.2661,0.0499,0.6840,0.4071,0.1800,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016946,637,0.7516,0.0065,0.2419,0.7453,0.1210,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016947,951,0.1433,0.5611,0.2956,0.4474,0.1030,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016948,816,0.4833,0.2205,0.2962,0.6974,0.1330,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016949,931,0.2898,0.4347,0.2755,0.5427,0.1090,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016950,1128,0.4451,0.0097,0.5452,0.4201,0.1370,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016951,909,0.3284,0.1665,0.5051,0.4340,0.1320,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016952,1073,0.2534,0.0422,0.7043,0.4481,0.1490,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016953,877,0.4711,0.0266,0.5023,0.5704,0.1340,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016954,993,0.2874,0.0532,0.6595,0.4065,0.1620,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
,E01016955,1126,0.3095,0.0550,0.6355,0.3616,0.1310,Brighton and Hove,E06000043,Brighton and Hove,E37000044,Coast to Capital,SPN
