Electricity demand for heat (kWh),,,,,,,,,,,,,
"Notes: Data gives all electricity demand for space and hot water heating by LSOA, including new builds and district heating",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,,,,
,E01000008,599354.1474,746702.7175,699593.5315,608722.6659,629596.8377,1640889.759,900102.3988,1048336.615,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000009,1103829.82,1400569.92,1368517.68,1423102.733,1635126.97,3259964.894,2669057.033,3544751.05,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000010,7009348.965,5824062.253,5695738.377,6711577.643,5838486.878,6067904.455,7132822.065,6514634.012,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000011,338114.7219,584813.2463,562203.7592,612856.6155,686859.7119,1755757.85,1451921.887,1912187.209,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000012,4392148.163,3316521.866,3248877.221,3466008.761,3353396.821,2849313.412,1964317.674,2719925.523,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000013,1146517.888,1223176.502,1173108.406,1096564.313,1139517.561,2323848.821,1380759.891,1850105.367,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000014,400050.0785,533186.8285,483466.2609,375991.7293,531701.9083,1879324.251,682060.0184,1550668.924,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000015,212299.6269,448560.7483,382858.2097,215345.1052,449410.4996,2365132.634,701332.3913,1924114.08,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000016,1025340.099,1059030.544,1009771.781,946198.6991,1031057.259,2251030.332,1131391.005,1844471.313,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000017,251222.2719,417141.8527,366449.5245,236723.9452,416365.6406,1856736.585,545234.6699,1517919.716,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000018,177106.2309,366183.5309,315859.0772,173520.2613,360016.5985,1898431.427,514348.1506,1511692.85,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000019,227961.8925,384989.3857,342913.4027,223342.4446,385378.4995,1712615.851,532250.6347,1385978.611,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000020,581359.6489,699921.1572,646746.5451,531666.3922,690005.1858,2071928.995,796777.805,1704030.757,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000021,1819852.676,1566553.27,1520261.244,1531172.289,1570200.952,2584293.091,1320283.818,2178645.094,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000022,1039328.9,924578.7318,890300.8399,896278.6614,927841.2699,1513585.935,826502.6517,1330562.2,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000023,10628045.74,8507588.227,8422151.819,9111907.316,8485637.538,7209858.989,6479602.31,6930007.665,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000024,92665.35532,297735.2199,259985.2948,113333.2922,331824.2412,1988473.138,392311.5971,1632387.238,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000025,614646.9012,1097900.337,957435.2343,481391.5113,572533.6191,3006572.976,235051.8087,787465.9014,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000027,1395592.188,3291949.457,3244702.03,1238262.037,5923110.547,35474964.74,1284283.624,34860997.76,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000028,1140346.866,1077438.807,1027811.257,1037960.704,1068950.334,1835200.615,1152014.829,1597296.768,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000029,1460610.034,1393786.504,1348364.22,1241814.575,1458731.625,3274415.275,1061274.343,2854853.181,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000030,2883339.433,2508959.466,2448282.914,2394145.566,2661284.487,5420008.14,1823465.746,4919839.865,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000031,1019148.061,958065.2058,913768.1644,850867.0224,966317.5327,2132974.195,825464.7629,1783479.554,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000032,1272361.591,1318812.214,1266491.231,1177390.225,1274129.374,2706308.629,1362566.09,2206241.326,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000033,1565144.689,1232703.196,1196669.418,1223239.587,1253049.039,1768266.741,748604.4499,1503276.758,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000034,448810.0386,598386.3547,558751.2907,405175.2932,662605.9494,2674040.136,605943.2506,2268757.987,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000035,927919.6548,979328.7908,931529.0152,855186.5373,965345.385,2396554.983,1086813.177,1897978.193,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000036,218739.5524,363533.3333,325222.8617,211212.659,357224.062,1593066.136,479277.5732,1278173.251,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000037,90213.23388,376518.2086,332918.3418,108106.3307,476988.903,3102734.92,474935.5632,2732823.086,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000038,388480.8185,586386.5466,539073.5722,361815.6632,632194.3079,2740246.728,625405.8633,2334703.931,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000039,1042359.616,1099141.187,1054002.429,952387.6051,1166571.369,3062837.649,1139616.095,2776225.643,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000040,1118287.95,1423687.155,1371322.654,1309820.563,1426020.137,3941288.946,2719004.243,3611423.712,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000041,80508.68077,289181.462,240126.0724,95959.09539,286784.8838,1804365.74,474737.8317,1453697.239,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000042,1568854.433,1706358.514,1657478.427,1682498.249,1738405.306,3919471.615,2923336.399,3703753.836,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000043,1029184.688,1395376.486,1357307.927,1307276.989,1348391.507,3748719.23,2830586.202,3321091.267,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000044,532007.3003,995506.5265,942192.926,826652.4697,1002215.339,3868948.641,2411394.665,3515605.445,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000045,692668.7147,1129281.848,1081865.261,986257.3481,1150531.421,3930396.431,2489448.102,3625340.641,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000046,373821.5459,514533.0662,459494.3981,329546.4993,515192.0116,2050385.511,626787.0056,1674113.24,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000048,1519563.035,1554228.149,1525084.653,1585133.793,1570152.406,3288440.541,2637477.72,3114127.862,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000049,3352472.302,2998870.44,2947624.743,3107762.41,3012199.543,4796105.519,3791328.771,4438821.191,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000050,1811716.85,1956201.15,1909048.348,1937181.071,1911150.486,3780362.745,3264806.996,3478747.923,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000051,1462641.473,1451264.045,1430802.498,1525651.381,1459072.049,2831507.096,2525823.399,2742239.981,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000052,1159657.084,1624779.706,1530176.351,1296749.588,1390169.694,4228234.377,2233690.558,3040941.129,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000053,2428734.669,1899049.472,1846336.838,1932523.446,1956631.309,2378203.66,1243285.151,2183761.078,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000054,126583.8218,337436.5453,285247.88,135851.6399,330330.8776,1960869.49,523397.1388,1549073.577,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000055,27355.60188,253842.9148,207658.9018,62336.8885,251595.8189,1699777.079,436240.689,1370229.965,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000056,625162.3357,643564.8661,601186.1528,533835.4943,648684.7668,1763577.03,683425.461,1445497.144,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000057,277657.815,418987.1496,378570.865,273327.244,413259.9193,1667315.415,569065.9576,1343967.885,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000058,107392.9529,337358.6054,279887.5164,122607.3346,335697.9364,2033422.631,560261.9511,1646996.884,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000059,176956.1233,345131.8971,296146.0964,164285.6613,351574.577,1882260.392,496811.5708,1518511.149,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000060,3032115.87,2342577.986,2293957.002,2447982.358,2340702.682,2734058.052,1730709.413,2437788.533,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000061,5250565.479,3657120.076,3628614.689,4008434.006,3768491.59,2499223.611,1628761.108,2416697.241,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000062,1256676.152,1127795.773,1072994.507,1023900.122,1120206.142,2391769.246,981561.5857,1979531.12,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000063,229608.178,409637.791,360058.1039,224085.3679,411509.3574,1952307.789,580549.534,1597607.252,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000064,5461713.919,4575472.435,4511906.335,4829278.227,4362075.133,3313164.251,2706074.761,2957286.224,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000065,1066586.938,1076224.012,1006810.048,909917.2836,1101087.149,2984183.18,1014988.306,2440841.962,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000066,1163058.025,1093971.383,1041170.518,980932.4708,1116019.511,2429559.161,961370.9315,2092071.58,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000067,142007.4406,394178.5118,334540.8406,159505.0986,405518.9339,2320209.198,639154.9023,1937720.139,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000068,473201.3107,812356.4658,769553.2001,493518.0697,1020439.044,4773756.242,831517.1967,4403346.207,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000069,110401.5142,341409.6576,298294.474,140303.5033,344303.2864,1928284.623,527929.3502,1564043.073,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000070,853327.7396,968437.2969,920968.222,811549.7786,951137.518,2496385.096,1075964.773,2054450.478,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000071,2208560.197,1925539.151,1848797.283,1902341.239,1963219.658,3441511.42,1667624.307,3046653.858,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000072,1872867.793,1633397.995,1579709.114,1572574.38,1662640.363,2885161.104,1343615.558,2449798.765,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000073,255720.6172,419046.7167,370155.1696,251939.5886,417916.2927,1815969.59,586108.9685,1481259.891,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000074,522557.2197,674246.7087,625301.2816,483846.6848,713455.5251,2643764.838,754323.0129,2246243.992,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000075,715652.4991,763887.6981,715841.8688,620218.4894,761877.5138,2128167.328,744046.7794,1745633.762,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000076,1048599.082,1193870.494,1135458.804,1019096.176,1125311.237,2604023.458,1430218.611,2042210.953,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000077,134160.2788,367932.732,318216.3349,149964.8066,402988.689,2298974.524,507825.486,1946897.224,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000078,409104.2837,583394.1249,533943.2567,391730.4564,595158.5198,2414998.806,715152.4943,1910935.56,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000079,676470.2516,737473.8033,687585.6773,612165.747,727311.3537,1929418.229,845083.1762,1588039.736,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000080,430158.4007,722044.9844,676200.9543,481983.3293,902695.3251,3616906.894,1077504.254,3114496.35,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000081,325699.7313,508935.6284,458368.7546,307375.1664,518011.6925,2292928.309,654513.2681,1853760.026,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000082,607217.5204,754623.6961,704030.6695,579269.625,754146.6974,2526870.79,881302.7657,2037254.886,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000083,94970.48962,337239.7915,283286.159,111005.4905,355262.4718,2306969.479,531188.782,1868545.74,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000084,329830.422,476261.5052,434055.6047,329022.3128,471053.2405,1774038.409,639189.1631,1472474.276,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000085,723342.9162,789734.9818,741192.351,656441.4891,770375.3059,2068069.931,912112.1599,1692462.423,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000086,111113.6679,272811.5533,230764.2967,115067.8167,273155.004,1543533.271,441543.6052,1256730.41,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000087,325219.7774,511734.4128,472913.069,322337.6674,562053.3936,2422662.32,580999.7332,2099882.117,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000088,1267563.451,1394128.024,1343415.649,1165046.535,1631968.504,4619046.778,1403415.243,4247750.999,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000089,300179.4996,443447.1771,393456.9544,274201.1693,439140.1986,1882411.151,572890.6359,1519807.098,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000090,442091.7011,561452.016,516489.6427,381916.0438,566742.3923,2384719.784,606092.6823,1827537.344,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000091,3241524.57,2984289.931,2936966.011,3101173.648,2968306.355,4460308.573,3775326.554,4092652.836,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000092,13427069.02,11023616.38,10794412.76,12308784.97,10640732.91,12493224.16,11504209.48,10621221.3,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000093,1991273.599,2007518.672,1958408.469,1991918.812,2046349.442,4247300.732,3013282.737,3951556.636,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000094,3934893.496,3556893.125,3510255.294,3687720.38,3610776.212,4905656.307,4073550.199,4758175.02,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000095,1975811.744,2153435.227,2111279.315,2145468.561,2083089.944,4184139.381,3525354.858,3610545.565,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000096,2060182.851,2049451.211,2015600.467,2093305.136,2029968.745,3684853.281,3076052.025,3396302.198,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000097,780615.2543,817514.7401,765011.48,690663.4758,836017.284,2044663.352,856131.7461,1752479.29,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000098,1041605.237,1067325.277,1016493.697,939925.0778,1047258.755,2462538.163,1201117.575,2022495.362,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000099,2199865.244,2247595.259,2174893.558,2019619.646,2295543.18,5517979.295,2216985.827,4514565.043,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000100,333923.4482,451773.8844,403623.6464,283348.1857,457881.4151,1963206.68,563059.3164,1592815.879,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000101,454158.9481,584961.27,534726.7889,434470.4684,571018.0095,1912222.646,739676.1535,1560202.805,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000102,710585.5425,817684.7844,764501.9753,645574.955,840032.8092,2441378.718,884207.6101,2099884.296,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000103,997912.7414,956886.6985,904588.9712,864457.7436,946117.5485,2169279.03,809172.8116,1664216.621,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000104,1356899.853,1246990.459,1197088.864,1171380.646,1270440.877,2289492.896,1095158.721,2034225.573,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000105,4042978.102,3563207.696,3496947.794,3623812.226,3483073.509,4035311.353,3262990.113,3594150.815,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000106,4726116.672,3536374.029,3463351.614,3726069.196,3553799.958,3340511.749,2290035.987,3108180.713,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000107,671967.4776,690066.4179,643820.3972,566430.7622,677678.0298,1925784.589,689059.7179,1565510.688,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000108,2325536.455,1826518.964,1771399.398,1842253.904,1828350.391,2263666.087,1189211.612,1985205.201,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000109,993044.0641,1148716.793,1080647.429,903196.7284,1184792.249,3547998.321,1190864.64,3028991.239,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000110,316089.1269,449767.5145,408895.0538,296210.3251,444302.3599,1744846.603,560059.4494,1424822.266,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000111,4693547.895,4007520.984,3952618.324,4189293.108,3769418.667,3165273.772,2423286.719,2572845.348,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000112,2777548.516,2249613.271,2180869.677,2240164.758,2254800.049,2621884.813,1405676.459,2343386.413,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000113,495072.8237,801262.2673,773140.7598,840592.7947,905884.3608,2232865.716,1930286.118,2429156.157,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000114,2561790.465,2144278.586,2080591.478,2171658.335,2121371.304,2677065.504,1676541.748,2400927.957,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000115,463652.6861,682491.0488,651026.7078,479374.8085,659714.7816,2286131.997,824589.8477,1800746.655,Barnet,Barnet,London,EPN
,E01000116,554427.5971,789105.9255,741217.7109,575448.2224,782994.5767,2857122.421,1003182.875,2373106.077,Barnet,Barnet,London,EPN
,E01000117,904942.6408,1016784.225,958681.5415,737969.4754,983743.492,2516406.708,702780.2866,1955591.971,Barnet,Barnet,London,EPN
,E01000118,672768.9287,812151.4113,753101.3923,595543.1997,801201.9512,2714771.063,886786.8722,2172358.338,Barnet,Barnet,London,EPN
,E01000119,127049.486,421020.7146,373690.2346,172876.3753,398477.9734,2289106.957,663669.847,1788958.241,Barnet,Barnet,London,EPN
,E01000120,113305.313,363057.3038,327423.9613,144112.1557,374597.4034,2242969.161,545088.9913,1821830.751,Barnet,Barnet,London,EPN
,E01000121,93207.73337,299722.0533,258671.7806,125810.5433,300441.1177,1637817.109,494058.608,1346981.871,Barnet,Barnet,London,EPN
,E01000122,124184.1193,448427.9524,408086.4731,152043.5291,504307.5452,3098856.792,509383.5263,2589778.451,Barnet,Barnet,London,EPN
,E01000123,982825.0295,1103758.522,1049998.65,950408.7009,1041411.49,2484808.948,1382374.746,2005778.472,Barnet,Barnet,London,EPN
,E01000124,1339513.34,1385419.654,1320562.126,1261215.841,1294161.26,2550581.781,1528505.817,2012881.332,Barnet,Barnet,London,EPN
,E01000125,1901478.687,1903455.053,1822136.099,1732002.902,1967852.769,4704394.423,2064619.958,4034733.954,Barnet,Barnet,London,EPN
,E01000126,3485341.466,2956689.246,2899085.87,3019496.925,3017529.518,3993131.517,2563265.873,3763004.065,Barnet,Barnet,London,EPN
,E01000127,106045.1136,306525.3382,262598.3573,139215.4231,306806.1607,1708283.77,569405.4409,1409005.956,Barnet,Barnet,London,EPN
,E01000128,190743.9044,524315.6225,469281.1759,311877.5976,510471.6333,2750316.772,1145706.158,2217624.148,Barnet,Barnet,London,EPN
,E01000129,1645844.357,1874692.357,1852104.675,1888192.805,1892532.057,2965279.568,2959418.062,3268008.321,Barnet,Barnet,London,EPN
,E01000130,1414477.642,1267341.839,1220220.353,1210966.087,1276266.906,2082730.206,1112776.776,1869519.326,Barnet,Barnet,London,EPN
,E01000131,1004338.551,1159254.615,1102660.825,1010434.798,1147204.082,3032280.41,1662133.204,2625409.638,Barnet,Barnet,London,EPN
,E01000132,130052.7227,305291.3993,263074.0427,145247.8781,303543.1089,1659801.395,513939.4473,1349573.952,Barnet,Barnet,London,EPN
,E01000133,317149.7726,479285.4537,431242.7269,312830.1584,481213.4477,1926418.662,667662.0455,1602396.872,Barnet,Barnet,London,EPN
,E01000134,1568373.891,1409794.605,1365063.007,1382491.664,1440372.601,2541725.963,1535455.725,2322960.552,Barnet,Barnet,London,EPN
,E01000135,1600358.844,1538658.749,1486127.443,1415035.389,1511942.692,3106207.866,1400181.042,2507536.641,Barnet,Barnet,London,EPN
,E01000136,1748645.473,1587028.162,1547450.307,1524504.4,1581193.471,2794921.273,1344120.465,2330290.761,Barnet,Barnet,London,EPN
,E01000137,2522970.014,2123396.601,2085428.016,2176587.617,2158670.962,2869184.701,1828368.223,2611688.217,Barnet,Barnet,London,EPN
,E01000138,2045891.447,1775679.161,1728836.349,1748143.1,1765371.236,2703798.133,1512596.046,2320780.365,Barnet,Barnet,London,EPN
,E01000139,1835927.189,1669057.861,1627119.98,1671774.492,1646976.439,2962654.926,1820801.546,2553391.709,Barnet,Barnet,London,EPN
,E01000140,1856226.142,2003645.001,1973702.178,2143309.541,2175648.394,3472075.291,3308057.112,3803457.003,Barnet,Barnet,London,EPN
,E01000141,3333206.48,2906742.012,2848805.175,2977604.434,2939323.352,4189369.396,2926292.237,3836763.852,Barnet,Barnet,London,EPN
,E01000142,5971054.831,4664184.095,4586142.377,4907709.998,4790515.575,4581267.689,3431220.281,4497465.213,Barnet,Barnet,London,EPN
,E01000143,2598346.585,2439598.581,2403863.175,2453171.359,2354053.437,3178628.214,2156096.507,2781645.81,Barnet,Barnet,London,EPN
,E01000144,797527.7294,1106683.158,1076212.347,1178948.469,1264182.643,2623238.33,2405044.294,2842234.143,Barnet,Barnet,London,EPN
,E01000145,1490278.224,1394802.071,1364339.451,1316193.798,1413427.496,3284710.85,1452036.981,2712352.552,Barnet,Barnet,London,EPN
,E01000146,3437890.721,3168503.807,3138497.119,3331424.843,3200993.772,3936967.973,4014204.16,4310768.231,Barnet,Barnet,London,EPN
,E01000147,317107.2883,884726.8197,849613.0177,768519.0468,815658.0409,2469042.232,1850333.846,2139387.316,Barnet,Barnet,London,EPN
,E01000148,2569733.262,2511802.966,2436853.548,2410992.959,2515195.348,4623602.486,2729781.754,4030159.747,Barnet,Barnet,London,EPN
,E01000150,4393443.932,3567430.447,3517991.535,3731699.837,3567632.591,3763227.393,2711820.349,3432675.188,Barnet,Barnet,London,EPN
,E01000151,1375003.362,1294465.313,1248114.546,1300586.55,1324482.213,2211657.319,1377743.923,2033756.255,Barnet,Barnet,London,EPN
,E01000152,1949932.835,1700645.69,1654887.194,1680920.455,1754145.777,2930003.549,1539592.684,2721377.303,Barnet,Barnet,London,EPN
,E01000153,2052721.87,1831982.747,1781656.266,1785091.077,1873199.365,3128201.775,1603490.23,2815151.404,Barnet,Barnet,London,EPN
,E01000154,34234511.95,23905400.75,23558200.67,25539438.21,22588947.3,12927111.84,9253041.35,9265663.817,Barnet,Barnet,London,EPN
,E01000155,17615184.4,13834876.62,13718364.21,14947115.03,13944072.69,11074252.86,10662057.43,10861898.14,Barnet,Barnet,London,EPN
,E01000156,702585.1552,1062538.703,1032880.83,1115388.552,1201516.206,2720105.416,2360051.027,2948021.945,Barnet,Barnet,London,EPN
,E01000157,425686.1485,568949.4987,514040.1028,377824.5575,577995.59,2086748.349,716487.9101,1777740.413,Barnet,Barnet,London,EPN
,E01000158,796339.711,834973.9735,793471.3526,722945.3691,834449.1051,2024553.121,891187.8795,1721624.262,Barnet,Barnet,London,EPN
,E01000159,173807.0097,441874.7986,393699.57,214800.8312,428259.4372,2292507.607,719516.4821,1822967.871,Barnet,Barnet,London,EPN
,E01000160,1271906.163,1382682.835,1318561.588,1256363.848,1359385.805,2842567.912,1741737.239,2403710.125,Barnet,Barnet,London,EPN
,E01000161,1087836.35,1093806.896,1024464.078,930131.5756,1083689.668,2794986.878,1169637.935,2296154.793,Barnet,Barnet,London,EPN
,E01000162,567344.104,691878.9978,648555.256,554449.0799,682814.7768,2043053.959,834637.2016,1676987.95,Barnet,Barnet,London,EPN
,E01000163,720043.6093,818027.2051,755683.4807,625339.2292,814080.1003,2204284.83,888489.4766,1873069.073,Barnet,Barnet,London,EPN
,E01000164,573631.5759,708638.9805,652976.9906,493383.6,718532.8853,2301028.366,666282.3248,1922936.052,Barnet,Barnet,London,EPN
,E01000165,171866.875,427197.7136,369486.3935,195957.7132,425160.2526,2028140.531,612666.1818,1696051.039,Barnet,Barnet,London,EPN
,E01000166,835367.6203,904485.73,857132.7664,769372.5956,923626.9248,2529309.548,974429.9604,2157158.701,Barnet,Barnet,London,EPN
,E01000167,197035.3731,499502.3921,454929.1279,219156.6972,637738.0913,3629636.256,602124.2401,3281358.557,Barnet,Barnet,London,EPN
,E01000168,84293.20727,357708.3747,313951.5006,138008.3073,339812.6556,2148028.744,663687.3361,1680544.724,Barnet,Barnet,London,EPN
,E01000169,2118567.495,1851885.138,1800665.077,1794777.381,1886690.117,2841650.362,1463110.272,2539480.3,Barnet,Barnet,London,EPN
,E01000170,854980.6557,929819.8692,879666.4888,775317.3317,926515.6853,2510864.932,1031033.308,2080341.128,Barnet,Barnet,London,EPN
,E01000171,5161405.581,4005133.922,3939255.374,4239360.485,4053845.132,3889548.515,2879888.922,3619054.773,Barnet,Barnet,London,EPN
,E01000172,164830.0493,474534.4173,429555.2416,188533.35,550832.1332,3255545.721,591520.4643,2796670.905,Barnet,Barnet,London,EPN
,E01000173,691326.181,798545.7762,751028.8914,649873.0563,781198.2031,2073122.17,943541.9097,1743382.608,Barnet,Barnet,London,EPN
,E01000174,2086234.188,2071437.631,2019558.761,2017620.693,1976547.195,3018630.898,2080293.016,2511652.404,Barnet,Barnet,London,EPN
,E01000175,123447.9758,421414.2452,365052.1859,143170.9923,349154.9149,2252802.672,520513.844,1590316.328,Barnet,Barnet,London,EPN
,E01000176,565171.5519,756219.5664,696481.0541,542088.2094,742067.6695,2272228.455,912307.809,1881692.148,Barnet,Barnet,London,EPN
