Total heat demand (kWh_th),,,,,,,,,,,,
Notes:,"Figures are for total heat demand in kWh_th of all buildings, including new build ",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,variable,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,,,,
,scenario,Baseline,Consumer Transformation,System Transformation,Leading the Way,Consumer Transformation,System Transformation,Leading the Way,,,,
,year,2020,2030,2030,2030,2050,2050,2050,,,,
,sector,Combined,Combined,Combined,Combined,Combined,Combined,Combined,,,,
,,,,,,,,,,,,
,LSOA code,Total_heat demand_kWhBaseline2020Combined,Total_heat demand_kWhConsumer Transformation2030Combined,Total_heat demand_kWhSystem Transformation2030Combined,Total_heat demand_kWhLeading the Way2030Combined,Total_heat demand_kWhConsumer Transformation2050Combined,Total_heat demand_kWhSystem Transformation2050Combined,Total_heat demand_kWhLeading the Way2050Combined,LAD20NM,CTYUA19NM,LEP20NM,Licence area
,E01021360,12097900.14,11106024.08,11589219.67,10707030.84,9505101.908,9789565.184,9154981.009,Braintree,Essex,South East,EPN
,E01021361,15359020.3,16586258.7,17181750.21,15397023.1,15143542.52,15355019.9,14492071.27,Braintree,Essex,South East,EPN
,E01021362,16061247.4,17262797.35,18226298.92,16590196.63,13472411.31,13977106.39,13172115.41,Braintree,Essex,South East,EPN
,E01021364,11790339.51,11743197.21,12224907.94,11272586.74,9491936.518,9719747.757,9311502.738,Braintree,Essex,South East,EPN
,E01021365,22520792.29,20459256.75,21299335.97,19697696.01,16886254.49,17222248.95,16559624.48,Braintree,Essex,South East,EPN
,E01021366,8613055.293,8153000.995,8544289.383,7909563.707,7895369.37,8138624.307,7900154.812,Braintree,Essex,South East,EPN
,E01021367,7583701.802,7063340.15,7374856.1,6907280.852,6825478.731,7024800.928,6817606.232,Braintree,Essex,South East,EPN
,E01021368,13556541.24,12453683.33,12996339.34,11980701.33,10426568.55,10649085.69,10226696.21,Braintree,Essex,South East,EPN
,E01021369,13062360.84,12476162.45,13111571.82,12133589.8,11911382.52,12315963.28,11915326.34,Braintree,Essex,South East,EPN
,E01021370,9870666.804,9235061.082,9535681.032,9103569.379,9185494.086,9343160.115,9161306.579,Braintree,Essex,South East,EPN
,E01021371,11166214.5,11403486.72,11828155.79,11002018.53,10199644.96,10383915.11,10166714.98,Braintree,Essex,South East,EPN
,E01021372,11365959.35,10638149.05,11097602.74,10364897.32,10237187.47,10484193.8,10212282.32,Braintree,Essex,South East,EPN
,E01021373,18616929.66,17529595.8,18322916.96,17052966.71,16887560.05,17285448.92,16891089.39,Braintree,Essex,South East,EPN
,E01021374,9579161.514,8970878.491,9316536.627,8793382.66,8729269.951,8904673.012,8729481.351,Braintree,Essex,South East,EPN
,E01021375,12296185.98,12530953.73,13163803.68,12062912.66,10403537.81,10708255.81,10308131.08,Braintree,Essex,South East,EPN
,E01021376,13736746.23,15804735.5,16362316.26,14530738.04,14061825.87,14355715.34,13326785.85,Braintree,Essex,South East,EPN
,E01021377,14686151.16,17918794.41,18500709.03,17504261.17,21105307.28,21401507.25,21008377.25,Braintree,Essex,South East,EPN
,E01021378,11583519.23,11094237.38,11602216.91,10814738.88,10486713.67,10781067.92,10475916.74,Braintree,Essex,South East,EPN
,E01021379,12115398.81,15593307,16104573.32,15265137.73,19483217.16,19732892.02,19454776.1,Braintree,Essex,South East,EPN
,E01021380,28017963.04,26772690.57,27916005.65,25821347.95,23096377.96,23560189.54,22902581.18,Braintree,Essex,South East,EPN
,E01021381,11366656.93,10653361.53,11129698.8,10316859.77,9830022.05,10045616.2,9766921.503,Braintree,Essex,South East,EPN
,E01021382,12582166.38,11351532.62,11883069.35,11002376.46,10250089.86,10485077.7,10167265.28,Braintree,Essex,South East,EPN
,E01021383,15758830.28,14243025.3,14987338.18,13488948.18,10154094.19,10540317.29,9774963.74,Braintree,Essex,South East,EPN
,E01021384,11424676.73,10784908.31,11340913.82,10431975.77,10335673.54,10689474.49,10320637.63,Braintree,Essex,South East,EPN
,E01021385,7074433.942,7166481.519,7482862.449,6922911.966,6484411.318,6671298.883,6286864.785,Braintree,Essex,South East,EPN
,E01021386,7708675.306,7312364.32,7672133.62,7078960.273,7008268.837,7249727.386,7008087.628,Braintree,Essex,South East,EPN
,E01021387,20365667.11,19198183.32,19910020.45,18581731.54,17260555.49,17590191.32,16918873.66,Braintree,Essex,South East,EPN
,E01021388,11714911.68,10454461.55,10969695.6,10157802.91,9877225.039,10212738.55,9829271.685,Braintree,Essex,South East,EPN
,E01021389,16693125.79,16381467.05,17224298.68,15759064.09,13310098.8,13770388.61,13113984.93,Braintree,Essex,South East,EPN
,E01021390,8804821.882,8308944.213,8710810.123,8039925.084,7798727.091,8047075.543,7775651.044,Braintree,Essex,South East,EPN
,E01021391,10279839.48,9503361.262,9899758.103,9335255.608,9381031.3,9609003.806,9388175.195,Braintree,Essex,South East,EPN
,E01021392,11297343.61,10539689.52,11028937.44,10247590.94,10138920.87,10392547.7,10131959.94,Braintree,Essex,South East,EPN
,E01021393,8116579.509,7671208.717,7999600.661,7480542.531,7505188.253,7696345.942,7490147.416,Braintree,Essex,South East,EPN
,E01021394,28507393.39,40066612.73,42235836.16,37847081.53,24840114.47,26093456.79,24520799.82,Braintree,Essex,South East,EPN
,E01021395,17483513.01,22818012.68,24637296.88,21843047.45,15382725.3,16530755.9,15392318.52,Braintree,Essex,South East,EPN
,E01021396,46659676.49,71286671.92,72556850.26,66097769.57,40750120.29,41137610.82,39435993.46,Braintree,Essex,South East,EPN
,E01021397,19993164.24,18521936.04,19364157.18,17979611.36,17306425.98,17667933.2,17252450.56,Braintree,Essex,South East,EPN
,E01021398,14619148.86,14912305.45,15486971.53,13723919.33,13726180.53,13903869.54,13000620.07,Braintree,Essex,South East,EPN
,E01021399,11092529.46,10393340.51,10874328.74,10122822.86,10075650.39,10350269.75,10086073.35,Braintree,Essex,South East,EPN
,E01021400,16123920.55,14886138.12,15599094.86,14437874.26,14024048.08,14351468.17,13965625,Braintree,Essex,South East,EPN
,E01021401,12145755.75,11783809.19,12269235.45,11471717.93,11231300.79,11478939.87,11199504.63,Braintree,Essex,South East,EPN
,E01021402,11911313.33,11109023.95,11626597.25,10726000.91,9956249.447,10275865.45,9847840.266,Braintree,Essex,South East,EPN
,E01021403,10046546.44,13699387.1,14164580.17,13395931.22,17188019.92,17451631.79,17129511.43,Braintree,Essex,South East,EPN
,E01021404,25447115.01,25488030.77,26556187.11,23818561.3,23708345.32,24063427.05,22856841.99,Braintree,Essex,South East,EPN
,E01021405,15648267.06,14643545.61,15337787.47,14174902.77,13741803.47,14091823.77,13704235.45,Braintree,Essex,South East,EPN
,E01021406,19879110.81,18964461.36,19862674.3,18019083.78,17873344.76,18175507.76,17559354.53,Braintree,Essex,South East,EPN
,E01021407,28784513.66,29111521.14,30285289.45,27146134.14,27076664.5,27462457.5,26033068.72,Braintree,Essex,South East,EPN
,E01021408,19845116.8,20340800.66,21306596.7,19653485.95,16896765.92,17389343.62,16768924.63,Braintree,Essex,South East,EPN
,E01021409,14777832.65,13881383.15,14517285.72,13489207.31,13391789.82,13667593.94,13399068.85,Braintree,Essex,South East,EPN
,E01021410,10547655.1,9822321.182,10235759.07,9586648.914,9277335.968,9512385.702,9241773.805,Braintree,Essex,South East,EPN
,E01021411,11825416.04,11924500.16,12376078.9,11052177.65,11118382.33,11268533.64,10624320.72,Braintree,Essex,South East,EPN
,E01021412,14003433.47,14523781.39,14976788.51,13033559.22,12921930.01,13048515.41,11839475.98,Braintree,Essex,South East,EPN
,E01021413,16697275.42,19473316.05,20396300.01,17847366.84,16171426.56,16595835.78,15353289.43,Braintree,Essex,South East,EPN
,E01021414,23595585.49,26976768.39,27962481.89,23867695.36,23718785.52,24077801.98,21600216.37,Braintree,Essex,South East,EPN
,E01021415,17502217.78,15551366.73,16215944.03,15036634.11,13900511.81,14213660.99,13692973.52,Braintree,Essex,South East,EPN
,E01021416,24153953.24,20102801.98,21085245.95,19111255.22,15515502.6,16024346.94,14787385.14,Braintree,Essex,South East,EPN
,E01021417,8610492.727,8094890.653,8425619.359,7898079.512,7773703.347,7960501.441,7757490.613,Braintree,Essex,South East,EPN
,E01021418,8138997.055,7603156.734,7917967.324,7432065.24,7407481.514,7540729.46,7388334.952,Braintree,Essex,South East,EPN
,E01021419,8921569.567,8402486.753,8791887.562,8172640.866,8147098.537,8382224.196,8124131.308,Braintree,Essex,South East,EPN
,E01021420,11865880.38,11218332.63,11681745.97,10949659.49,10932587.62,11138316.46,10947811.54,Braintree,Essex,South East,EPN
,E01021422,9851658.747,9145754.297,9618361.629,8975215.896,8946102.436,9248715.912,9009690.359,Braintree,Essex,South East,EPN
,E01021423,9239144.379,8702666.958,9056576.459,8507294.488,8436402.18,8603836.004,8434356.964,Braintree,Essex,South East,EPN
,E01021424,11927702.08,11224800.79,11774963.64,10879546.22,10754795,11062469.16,10746654.04,Braintree,Essex,South East,EPN
,E01021425,7348226.532,6897118.156,7196615.372,6736921.493,6752153.829,6898873.109,6757548.989,Braintree,Essex,South East,EPN
,E01021426,7928708.961,7437293.089,7787516.221,7247628.162,7268732.65,7494516.283,7268635.533,Braintree,Essex,South East,EPN
,E01021427,9310175.532,8723026.694,9042660.564,8553831.253,8557061.086,8683785.171,8566137.611,Braintree,Essex,South East,EPN
,E01021428,8178861.108,7720766.89,8115868.349,7469574.665,7393152.893,7635171.476,7388836.892,Braintree,Essex,South East,EPN
,E01021429,7326708.755,6943322.374,7215756.663,6787250.071,6798765.264,6929474.285,6806053.017,Braintree,Essex,South East,EPN
,E01021430,19524421.13,21156989.15,21849307.35,18650041.43,19466340.8,19672704.91,17647606.44,Braintree,Essex,South East,EPN
,E01021431,10299609.29,9651950.02,10091841.39,9250819.687,8195318.104,8436602.096,8045322.796,Brentwood,Essex,South East,EPN
,E01021432,11179165.36,10547192.75,11032779.27,10301781.59,10539986.82,10845130.8,10540160.81,Brentwood,Essex,South East,EPN
,E01021433,23175428.92,22136084.56,23020924.82,21127528.88,16937262.26,17318276.74,16544611.87,Brentwood,Essex,South East,EPN
,E01021434,9813179.202,9068802.377,9465701.408,8781516.61,8437887.561,8635561.046,8389883.941,Brentwood,Essex,South East,EPN
,E01021435,10362392.97,9851362.868,10314077.39,9564925.533,9653453.319,9932826.224,9618360.395,Brentwood,Essex,South East,EPN
,E01021436,29197681.75,25811762.66,27024561.56,24623730.99,20597534.52,21155191.28,20095651.82,Brentwood,Essex,South East,EPN
,E01021437,8230218.998,7746549.853,8081509.721,7588881.64,7827042.554,8032733.902,7820342.005,Brentwood,Essex,South East,EPN
,E01021438,13885087.48,12943506.94,13589145.7,12453850.83,11498247.68,11864516.73,11394837.02,Brentwood,Essex,South East,EPN
,E01021439,23814308.66,25991385.54,27326292.47,24929625.28,20501410.13,21140134.42,20295190.61,Brentwood,Essex,South East,EPN
,E01021441,7852229.1,7468470.693,7829742.181,7240133.317,7157042.045,7379518.985,7131795.889,Brentwood,Essex,South East,EPN
,E01021442,7431137.533,7072877.59,7432876.572,6822472.732,6658995.981,6882624.746,6625514.094,Brentwood,Essex,South East,EPN
,E01021443,11553690.48,11634618.7,12126015.44,11253851.24,10691829.5,10913072.56,10650901.46,Brentwood,Essex,South East,EPN
,E01021444,11290891.86,10645375.03,11156607.37,10294609.53,9953175.02,10232791.5,9898594.764,Brentwood,Essex,South East,EPN
,E01021445,12610509.08,11990159.75,12559733.5,11588021.42,11322107.09,11654566.99,11270830.6,Brentwood,Essex,South East,EPN
,E01021446,40026089.27,56965839.37,60683238.08,54280180.4,36938012.42,39197361.72,36643882.38,Brentwood,Essex,South East,EPN
,E01021447,13817810.45,13268087.14,13917787.99,12824065.05,12819030.42,13257635.68,12797055.03,Brentwood,Essex,South East,EPN
,E01021448,9164675.032,8687621.609,9058228.105,8472070.362,8494342.236,8723082.06,8475888.189,Brentwood,Essex,South East,EPN
,E01021449,9088019.841,8583696.609,9001039.006,8315839.405,8219081.589,8464626.433,8194599.253,Brentwood,Essex,South East,EPN
,E01021450,10740867.12,10279889.13,10774651.41,9956593.877,10047417.95,10358385.59,10038801.05,Brentwood,Essex,South East,EPN
,E01021451,9131090.838,8495885.869,8850406.151,8279113.648,7925562.338,8107149.146,7858469.879,Brentwood,Essex,South East,EPN
,E01021452,9078346.263,8582541.657,8998585.688,8257798.09,7636716.388,7857371.137,7534353.994,Brentwood,Essex,South East,EPN
,E01021453,8153806.886,7764031.881,8099235.321,7522621.957,7334380.186,7531936.64,7284176.288,Brentwood,Essex,South East,EPN
,E01021454,6589210.38,6306684.646,6616502.65,6116676.961,6284933.713,6473395.886,6288885.158,Brentwood,Essex,South East,EPN
,E01021455,8098107.742,7718651.398,8117728.202,7447707.024,7395071.935,7669673.745,7375016.603,Brentwood,Essex,South East,EPN
,E01021456,6776793.873,6474382.505,6791606.365,6280987.298,6440925.523,6644046.649,6444843.657,Brentwood,Essex,South East,EPN
,E01021457,11974433.51,11260718.43,11778150.81,10917526.37,10662490.62,10933941.8,10620916.11,Brentwood,Essex,South East,EPN
,E01021458,13674668.42,12749777.67,13323593.21,12266120.68,11228401.06,11516879,11079529.17,Brentwood,Essex,South East,EPN
,E01021459,7553866.591,7197307.238,7542755.935,6940887.167,6698413.689,6925790.112,6658122.814,Brentwood,Essex,South East,EPN
,E01021460,11514295.02,10888203.02,11370737.51,10548267.9,10231796.37,10503885.65,10173233.41,Brentwood,Essex,South East,EPN
,E01021461,8975059.035,8461653.38,8818795.741,8281270.358,8419464.842,8619866.855,8413804.994,Brentwood,Essex,South East,EPN
,E01021462,8582303.686,8117048.955,8516707.227,7815026.232,7347952.121,7573427.476,7260802.193,Brentwood,Essex,South East,EPN
,E01021463,10238011.41,9632313.449,10081163.12,9276041.7,8589228.337,8838400.777,8469206.133,Brentwood,Essex,South East,EPN
,E01021464,7851770.267,7499615.472,7838733.06,7290116.41,7430720.487,7635356.268,7409998.836,Brentwood,Essex,South East,EPN
,E01021465,12638798.95,11949535.22,12475237.59,11540571.45,11221673.04,11505695.85,11069920.98,Brentwood,Essex,South East,EPN
,E01021466,9446346.475,9022081.459,9477321.556,8718327.053,8709081.515,9019381.416,8689484.459,Brentwood,Essex,South East,EPN
,E01021467,9554802.8,9122818.134,9576800.931,8820603.123,8833818.027,9124477.268,8790805.895,Brentwood,Essex,South East,EPN
,E01021468,14927387,14115485.53,14763040.19,13625894.04,12708778.81,13047069.63,12600803.31,Brentwood,Essex,South East,EPN
,E01021469,8551994.698,8088265.032,8457890.342,7844680.65,7661632.013,7843459.259,7637216.861,Brentwood,Essex,South East,EPN
,E01021470,9618720.31,8729924.851,9156710.309,8436217.704,7739023.123,7929556.399,7650973.547,Brentwood,Essex,South East,EPN
,E01021471,9185350.017,8753634.713,9198188.49,8469019.099,8496556.934,8800381.5,8484967.885,Brentwood,Essex,South East,EPN
,E01021472,17864146.13,16583674.2,17437526.61,15985876.37,14933814.19,15360832.29,14411029.26,Brentwood,Essex,South East,EPN
,E01021473,18253157.79,16707049.24,17673644.66,15872247.93,11943428.43,12275602.26,11519487.29,Brentwood,Essex,South East,EPN
,E01021474,8696374.442,8341930.345,8732152.056,8095508.452,8246286.683,8479960.459,8251158.893,Brentwood,Essex,South East,EPN
,E01021475,8511664.566,8104141.929,8456356.621,7857240.119,7842139.184,8020025.826,7808667.944,Brentwood,Essex,South East,EPN
,E01021476,13597789.12,14127004.97,14689607.6,13514079.07,11789691.52,12117843.7,11671536.88,Castle Point,Essex,South East,EPN
,E01021477,10423630,11073154.54,11477001.92,10591305.8,9376363.461,9611074.696,9286484.688,Castle Point,Essex,South East,EPN
,E01021478,10540814.97,11205117.91,11620600.04,10739985.99,9728503.091,9995828.381,9665694.286,Castle Point,Essex,South East,EPN
,E01021479,8529877.928,8087502.164,8464158.168,7834410.312,7649304.337,7869206.337,7624205.248,Castle Point,Essex,South East,EPN
,E01021480,10945255.56,10296454.63,10783186.44,9949362.022,9574508.936,9867959.93,9524317.287,Castle Point,Essex,South East,EPN
,E01021481,9291966.738,8818161.03,9249091.467,8476391.115,7985441.919,8282332.122,7933712.061,Castle Point,Essex,South East,EPN
,E01021482,9563296.332,9063976.767,9486298.024,8805515.826,8812134.391,9049107.532,8822582.929,Castle Point,Essex,South East,EPN
,E01021483,10942299.13,10574784.55,11068209.24,10230168.64,9889846.474,10210233.57,9854081.889,Castle Point,Essex,South East,EPN
,E01021484,8321802.985,7853197.538,8244193.563,7627491.069,7649481.736,7913979.268,7653040.319,Castle Point,Essex,South East,EPN
,E01021485,6377937.493,5990572.212,6266704.24,5847900.725,5946976.621,6126995.823,5942723.686,Castle Point,Essex,South East,EPN
,E01021486,6286985.755,5826925.587,6069266.112,5704996.511,5710852.986,5857496.936,5694648.66,Castle Point,Essex,South East,EPN
,E01021487,7762181.605,7373669.819,7716741.279,7177142.747,7268393.205,7473616.399,7283093.862,Castle Point,Essex,South East,EPN
,E01021488,8258244.744,7782180.646,8130435.004,7582843.862,7595936.016,7815605.067,7563593.352,Castle Point,Essex,South East,EPN
,E01021489,9059525.782,8547556.842,8938798.927,8269776.577,7882144.161,8128546.084,7838824.039,Castle Point,Essex,South East,EPN
,E01021490,10963790,11515133.23,12230057.16,11109089.13,9477701.553,9896266.429,9426728.432,Castle Point,Essex,South East,EPN
,E01021491,10119966.04,9498142.239,9960848.311,9174108.626,8657951.113,8939485.144,8602583.304,Castle Point,Essex,South East,EPN
,E01021492,9567782.828,9039741.743,9489333.772,8794431.72,8848790.178,9127597.386,8863129.958,Castle Point,Essex,South East,EPN
,E01021493,9001361.326,8537567.001,8943129.399,8294418.289,8319593.008,8567413.313,8318332.166,Castle Point,Essex,South East,EPN
,E01021494,7769512.84,7369002.494,7729893.159,7156851.648,7252144.524,7484603.462,7261292.727,Castle Point,Essex,South East,EPN
,E01021495,19106614.57,18060625.39,18874213.98,17557946.97,17256781.06,17630760.13,17245104.39,Castle Point,Essex,South East,EPN
,E01021496,9925259.001,10137889.11,10522567.5,9780354.83,9156077.362,9386415.361,9059046.031,Castle Point,Essex,South East,EPN
,E01021497,9466675.53,8909223.712,9311066.822,8612282.722,8060670.855,8308432.347,7998858.34,Castle Point,Essex,South East,EPN
,E01021498,18299859.12,21328332.59,22335643.32,20184410.13,15082932.07,15683312.83,14864436.29,Castle Point,Essex,South East,EPN
,E01021499,8750751.715,8324515.735,8722926.858,8095304.748,8203387.951,8465819.109,8219917.801,Castle Point,Essex,South East,EPN
,E01021500,17631780.69,17355576.09,18060177.51,16755607.45,15433255.32,15713979.22,15349014.67,Castle Point,Essex,South East,EPN
,E01021501,11012876.46,10466799.09,10941054.21,10000763.16,8328231.763,8575415.69,8099154.224,Castle Point,Essex,South East,EPN
,E01021502,11784879.69,11067467.76,11531428.72,10816127.08,10782844.73,11092807.88,10770968.72,Castle Point,Essex,South East,EPN
,E01021503,10720277.46,9828136.631,10292917.41,9465543.058,7732139.733,7945427.748,7520200.633,Castle Point,Essex,South East,EPN
,E01021504,10131585.21,9276783.539,9685300.033,8802549.132,6767647.22,6985052.569,6509665.891,Castle Point,Essex,South East,EPN
,E01021505,6656251.503,6334247.792,6636962.022,6152962.816,6232067.069,6432180.973,6242154.044,Castle Point,Essex,South East,EPN
,E01021506,6762627.646,6264566.647,6542622.346,6084008.686,6045135.183,6207245.907,6029758.117,Castle Point,Essex,South East,EPN
,E01021507,12840140,15739836.28,16427631.79,15075918.82,12426726.2,12877699.45,12423126.63,Castle Point,Essex,South East,EPN
,E01021508,5613604.718,5336620.457,5569923.138,5198401.592,5300785.232,5438605.618,5300341.142,Castle Point,Essex,South East,EPN
,E01021509,8573144.734,8204525.101,8556216.557,7985914.538,8104411.181,8307737.799,8108000.678,Castle Point,Essex,South East,EPN
,E01021510,9051324.594,8617989.386,9004505.514,8376527.836,8490532.391,8714465.914,8490507.433,Castle Point,Essex,South East,EPN
,E01021511,11012155.37,10440545.56,10926991.8,10129222.14,10146920.72,10407472.88,10137197.92,Castle Point,Essex,South East,EPN
,E01021512,11159928.68,10404562.2,10862774.57,9945795.997,8385692.869,8619047.437,8182166.701,Castle Point,Essex,South East,EPN
,E01021513,10471447.77,11701993.77,12468098.23,11252969.74,9516640.959,10023414.43,9519936.652,Castle Point,Essex,South East,EPN
,E01021514,7448093.203,7098439.278,7424019.203,6897480.266,7020953.43,7218290.697,7024335.222,Castle Point,Essex,South East,EPN
,E01021515,6510741.002,6204624.579,6491914.649,6026917.952,6118745.724,6296225.241,6120993.255,Castle Point,Essex,South East,EPN
,E01021516,14827831.06,19888880.93,20845938.37,18942151.85,13295560.61,13928058.38,13215407.5,Castle Point,Essex,South East,EPN
,E01021517,11385195.83,11357227.87,11842570.39,10935980.06,9576511.492,9882767.029,9485795.788,Castle Point,Essex,South East,EPN
,E01021518,18095463.09,16786574.73,17480471.63,16255974.46,15367701.52,15680949.05,15254179.8,Castle Point,Essex,South East,EPN
,E01021519,9774397.024,9221712.714,9665542.89,8877708.291,8349276.933,8632796.859,8286070.154,Castle Point,Essex,South East,EPN
,E01021520,10161661.67,10095144.21,10509348.8,9800464.539,9445169.673,9693292.17,9425118.078,Castle Point,Essex,South East,EPN
,E01021521,7771257.445,7372851.437,7727866.292,7161698.198,7278067.284,7498796.919,7282957.945,Castle Point,Essex,South East,EPN
,E01021522,13102370.81,12056133,12610244.89,11574970.35,10139658.41,10409681.88,9955088.684,Castle Point,Essex,South East,EPN
,E01021523,8682976.189,8246896.965,8627025.308,7991637.719,7908472.812,8147535.142,7889976.698,Castle Point,Essex,South East,EPN
,E01021524,9122013.177,8616480.162,9028948.403,8334727.894,8093646.814,8346277.362,8064993.949,Castle Point,Essex,South East,EPN
,E01021525,14404788.36,15320197.22,16009621.2,14799576.41,12757708.41,13148985.06,12708353.8,Castle Point,Essex,South East,EPN
,E01021526,9395856.942,8853881.084,9283894.691,8552814.864,8175200.334,8447167.885,8133546.86,Castle Point,Essex,South East,EPN
,E01021527,10145296.41,10167760.88,10738188.62,9856826.933,9391229.639,9753828.103,9403421.928,Castle Point,Essex,South East,EPN
,E01021528,10627637.27,9887158.494,10361715.54,9554007.469,9025573.895,9282588.879,8917038.751,Castle Point,Essex,South East,EPN
,E01021529,8203006.592,7735016.737,8067071.933,7555295.982,7684864.098,7885010.152,7673533.691,Castle Point,Essex,South East,EPN
,E01021530,9010707.703,8697826.489,9098446.674,8395088.37,7870019.871,8123666.736,7820047.914,Castle Point,Essex,South East,EPN
,E01021531,8383710.806,8058742.145,8423642.974,7778704.524,7413056.851,7651414.27,7367161.273,Castle Point,Essex,South East,EPN
,E01021532,9752602.792,9999890.23,10480807.37,9678287.193,9024483.907,9332858.519,9030405.672,Castle Point,Essex,South East,EPN
,E01021533,14018926.93,13185822.83,13838483.63,12783254.34,12695260.73,13084450.31,12675653.13,Chelmsford,Essex,South East,EPN
,E01021535,16950115,15384418.12,16124727.83,14875093.57,13990312.67,14252191.78,13905739.09,Chelmsford,Essex,South East,EPN
,E01021536,10205450.21,9546760.634,9957078.911,9322741.935,9233849.985,9460833.372,9229940.168,Chelmsford,Essex,South East,EPN
,E01021537,15864484.79,14857418.07,15527613.07,14345259.93,13227898.62,13553525.79,13024932.98,Chelmsford,Essex,South East,EPN
,E01021538,28434676.45,36811939.53,37635126.42,32158176.81,31811997.84,32137279.92,28404902.07,Chelmsford,Essex,South East,EPN
,E01021539,13435570.21,15330215.34,15769121.3,13465202.58,13786844.28,13908839.92,12426863.21,Chelmsford,Essex,South East,EPN
,E01021540,19328570.94,20866675.88,21588684.46,18140586.14,18175088.48,18417490.02,16201943.64,Chelmsford,Essex,South East,EPN
,E01021541,16283889.3,15449077.36,16106398.03,15047152.56,15089324.95,15369881.46,15099641.34,Chelmsford,Essex,South East,EPN
,E01021542,15748434.56,15044857.71,15717297.24,14568880.62,13979152.06,14321052.59,13907117.07,Chelmsford,Essex,South East,EPN
,E01021543,9960371.025,10566450.09,10975614.91,10207986.67,9266254.172,9503535.691,9248610.116,Chelmsford,Essex,South East,EPN
,E01021544,9888669.724,8949935.594,9364989.851,8623329.582,8317119.209,8553147.714,7892216.619,Chelmsford,Essex,South East,EPN
,E01021545,7593440.362,7357609.186,7701612.631,7135717.825,7321698.871,7513490.777,7319703.238,Chelmsford,Essex,South East,EPN
,E01021546,7151447.171,6948754.667,7224097.344,6797274.236,7002244.341,7171480.842,7009106.429,Chelmsford,Essex,South East,EPN
,E01021547,10011042.03,9545456.518,9939329.578,9302030.31,9291769.899,9505405.19,9269774.846,Chelmsford,Essex,South East,EPN
,E01021548,6926438.547,6711801.644,7016572.842,6530138.445,6688846.727,6876704.901,6697697.903,Chelmsford,Essex,South East,EPN
,E01021550,19400465.32,23518562.47,24346661.22,20581430.06,20026734.36,20378682.87,17953782.75,Chelmsford,Essex,South East,EPN
,E01021551,15272177.09,16632915.05,17115596.21,14598215.73,13775526.88,13905704.93,12288177.46,Chelmsford,Essex,South East,EPN
,E01021552,9794961.597,9352860.983,9792027.281,9077362.02,9144718.797,9406094.266,9092261.795,Chelmsford,Essex,South East,EPN
,E01021553,7347390.161,7086532.749,7396026.769,6886004.22,6745798.109,6926708.908,6706661.121,Chelmsford,Essex,South East,EPN
,E01021554,7843866.34,7561857.518,7868471.957,7374620.107,7456358.586,7644069.139,7440703.695,Chelmsford,Essex,South East,EPN
,E01021555,9388566.755,8846366.212,9258719.967,8553132.196,7781610.141,8002722.216,7679842.252,Chelmsford,Essex,South East,EPN
,E01021556,16028528.85,18586134.61,19140037.09,17973737.56,15097213.97,15430453.69,15092951.48,Chelmsford,Essex,South East,EPN
,E01021557,5980970.936,5826759.27,6093892.244,5660795.823,5847518.75,6011864.519,5847995.961,Chelmsford,Essex,South East,EPN
,E01021558,6840121.948,6953214.484,7350204.992,6723608.989,6501490.178,6738587.982,6497521.271,Chelmsford,Essex,South East,EPN
,E01021559,8289264.557,7964056.347,8363075.528,7711504.261,7776189.853,7997399.752,7778135.478,Chelmsford,Essex,South East,EPN
,E01021560,13282989.52,12531645.32,13092837.25,12113864.56,11463669.52,11768042.2,11374403.01,Chelmsford,Essex,South East,EPN
,E01021561,15984915.91,18692783.69,19627527.44,17835371.44,14452594.65,14985274.37,14313095.48,Chelmsford,Essex,South East,EPN
,E01021562,13785450.89,12848506.92,13477631.29,12434889.72,11217765.63,11544515.53,11083926.64,Chelmsford,Essex,South East,EPN
,E01021563,10123416.01,9609172.767,9983776.167,9400105.682,9395014.815,9607811.904,9368260.559,Chelmsford,Essex,South East,EPN
,E01021564,8811857.371,8443549.299,8832213.508,8162671.84,7918443.562,8152889.065,7871969.078,Chelmsford,Essex,South East,EPN
,E01021565,8649335.205,8186492.831,8508330.87,8057886.204,8286486.479,8496880.196,8272360.358,Chelmsford,Essex,South East,EPN
,E01021566,9051327.303,8706223.862,9123621.777,8454709.654,8627767.028,8895058.264,8633568.924,Chelmsford,Essex,South East,EPN
,E01021568,14645297.95,13845075.7,14551750.6,13403172.34,13410119.83,13752234.91,13404896.43,Chelmsford,Essex,South East,EPN
,E01021569,14899730.7,15440127.11,16299644.12,14913661.01,13823583.25,14289881.52,13779543.32,Chelmsford,Essex,South East,EPN
,E01021570,16346084.09,15362865.05,16087896.9,14865384.1,14543977.91,14876570.46,14486062.92,Chelmsford,Essex,South East,EPN
,E01021571,13582310.26,12623214.46,13247121.56,12166711.89,11486183.24,11752602.74,11410411.05,Chelmsford,Essex,South East,EPN
,E01021572,11120018.52,10242103.47,10700326.36,9992038.02,9750368.386,10013895.1,9731793.678,Chelmsford,Essex,South East,EPN
