Total heat demand (kWh_th),,,,,,,,,,,,
Notes:,"Figures are for total heat demand in kWh_th of all buildings, including new build ",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,variable,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,,,,
,scenario,Baseline,Consumer Transformation,System Transformation,Leading the Way,Consumer Transformation,System Transformation,Leading the Way,,,,
,year,2020,2030,2030,2030,2050,2050,2050,,,,
,sector,Combined,Combined,Combined,Combined,Combined,Combined,Combined,,,,
,,,,,,,,,,,,
,LSOA code,Total_heat demand_kWhBaseline2020Combined,Total_heat demand_kWhConsumer Transformation2030Combined,Total_heat demand_kWhSystem Transformation2030Combined,Total_heat demand_kWhLeading the Way2030Combined,Total_heat demand_kWhConsumer Transformation2050Combined,Total_heat demand_kWhSystem Transformation2050Combined,Total_heat demand_kWhLeading the Way2050Combined,LAD20NM,CTYUA19NM,LEP20NM,Licence area
,E01000058,8062187.171,7384959.792,7694214.871,7245774.433,7164799.122,7362572.374,7162294.841,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000059,7500040.708,6839782.648,7119049.455,6673644.294,6227992.246,6395627.385,6181877.994,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000060,12173663.85,11012154.01,11442992.94,10775814.08,10272604.08,10473629.28,10234406.43,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000061,11415407.19,9445337.328,9672010.525,9332814.283,8754254.061,8890442.15,8703122.193,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000062,9671682.758,8916570.379,9269625.683,8739476.526,8616416.975,8811755.025,8616407.236,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000063,7899430.217,7510028.251,7844499.399,7345068.245,7027086.928,7228513.851,7028643.724,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000064,14908903.52,15861425.59,16893319.35,15340368.29,12531056.79,13140115.5,12496487.73,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000065,12290055.68,11366339.73,11881172.05,11043625.13,9318456.021,9607190.651,9183035.05,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000066,10054843.05,9267796.078,9645699.993,9006627.49,8403438.956,8594172.209,8348219.325,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000067,9211206.188,8507257.77,8872435.329,8263446.009,7842797.709,8040961.833,7808007.317,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000068,24435136.28,35455772.85,37916829.58,33754705.11,20252955.78,21887377.8,20169725.78,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000069,7603328.404,7032438.664,7352272.241,6798791.192,6322694.497,6492725.739,6279927.567,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000070,10182845.23,9337621.08,9752919.949,8993876.45,7916074.507,8115047.952,7805276.782,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000071,14501044.72,15268519.42,15783659.43,14650615.67,12475235.65,12757503.95,12365882.15,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000072,12314039.82,11091177.04,11519703.56,10745325.9,9072464.537,9280844.428,8882182.833,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000073,7333506.958,6748128.866,7016925.166,6619521.269,6543666.58,6703534.597,6545015.141,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000074,11264313.51,13339181.24,13649169.63,12684526.9,9806482.272,9959147.13,9643805.286,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000075,8823412.164,8083373.033,8438277.495,7894415.406,7539273.677,7751073.166,7513618.112,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000076,10302662.15,9317448.564,9686161.409,9042857.347,7842675.864,8042249.928,7708893.705,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000077,9997299.964,11213544.72,11800158.71,10850893.58,8621529.651,9007463.481,8601514.987,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000078,9593923.87,8665638.772,9006612.779,8370268.121,6977288.16,7157413.549,6797093.586,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000079,7697455.984,7069225.375,7346014.257,6920777.037,6623434.275,6791570.325,6597271.136,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000080,17818927.66,22565118.25,23684015.66,21341601.38,14883442.82,15560655.06,14700387.16,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000081,9115987.058,9009347.934,9318485.055,8733933.208,7457461.718,7630233.097,7374616.438,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000082,10334567.31,9900686.899,10415843.1,9541049.966,7659326.777,7946373.747,7515110.069,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000083,9077915.134,8938339.349,9252894.666,8683199.786,7498505.749,7682740.041,7425263.28,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000084,7425397.608,7842957.46,8089990.438,7677315.69,6914588.339,7068733.348,6894645.989,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000085,8419899.152,7820776.471,8151086.593,7634150.427,6877427.148,7076364.868,6813345.031,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000086,6162350.121,5650404.261,5879483.879,5546150.322,5486977.829,5628807.808,5486511.793,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000087,11332030.9,13839727.9,15116251.03,13315573.45,9439851.092,10196738.88,9415886.69,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000088,22668291.04,32642990.53,33528537.43,30603384.16,20726973.27,21210604.5,20384829.49,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000089,7580539.701,7019556.748,7311948.968,6836626.902,6613212.981,6767517.405,6600464.738,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000090,9505803.77,8617691.493,9019172.879,8260087.207,6635783.926,6812014.223,6451005.2,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000091,11901534.97,14086348.35,14425585.38,13921096.05,16501469.85,16671198.15,16340280.91,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000092,49226301.45,51834741.64,54301396.87,49862720.25,42549688.98,44272529.68,41963698.52,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000093,10722502.23,12892235.91,13215820.15,12710734.93,14867689.89,15042678.31,14775425.56,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000094,15123909.1,18532194.93,19257747.43,18072148.55,18997986.44,19349839.39,18970405.26,Barking and Dagenham,Barking and Dagenham,London,LPN
