Existing buildings total heat demand (kWh_th),,,,,,,,,,,,
Notes:,Figures are for total heat demand in kWh_th of all buildings existing in 2020 in each LSOA. New builds and other changes to non-domestic footprint over time are excluded here to isolate the effect the energy efficiency,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,variable,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,,,,
,E01001412,13159538.57,11988918.36,12540756.42,11694132.23,11485121.38,11890849.33,11490753.5,Enfield,Enfield,London,EPN
,E01001413,9288423.248,8606710.178,9080398.492,8333215.903,8153748.159,8484905.543,8160898.55,Enfield,Enfield,London,EPN
,E01001414,14436430.66,13289777.75,13774229.67,13092378.2,12918961.62,13206474.82,12944994.72,Enfield,Enfield,London,EPN
,E01001415,15091925.86,13618436.28,14221703.4,13288634.02,13055070.68,13404590.08,13061018.96,Enfield,Enfield,London,EPN
,E01001416,15776358.3,14801957.61,15488801.19,14417085.01,14072176.77,14684783.91,14073549.22,Enfield,Enfield,London,EPN
,E01001417,13474642.36,12368877.2,13003216.15,11984540.99,11694281.02,12191944.37,11700105.87,Enfield,Enfield,London,EPN
,E01001418,10398081.46,9580386.704,10028056.01,9325380.164,9167799.437,9465110.258,9164744.438,Enfield,Enfield,London,EPN
,E01001419,10353207.53,9509795.23,9956241.824,9256040.39,9103656.508,9379041.263,9103766.856,Enfield,Enfield,London,EPN
,E01001420,7727821.923,7101278.635,7395719.391,6955211.309,6867502.648,7055071.345,6868178.65,Enfield,Enfield,London,EPN
,E01001421,9951164.597,9164579.392,9513414.64,8994906.173,8887985.62,9105837.507,8884564.013,Enfield,Enfield,London,EPN
,E01001422,10021975.19,9274504.782,9793529.341,8946008.04,8745308.975,9101219.357,8745632.787,Enfield,Enfield,London,EPN
,E01001423,8368009.543,7687603.949,7975339.889,7553556.027,7481524.305,7660535.155,7474084.508,Enfield,Enfield,London,EPN
,E01001424,3179357.663,2880114.652,2989685.862,2851136.052,2833477.287,2910583.44,2834139.061,Enfield,Enfield,London,EPN
,E01001425,12230899.63,11192734.09,11566829.22,11065843.59,10996275.37,11263285.62,10981082.02,Enfield,Enfield,London,EPN
,E01001426,9213581.682,8395977.714,8730657.052,8267716.593,8184686.325,8430332.025,8182952.796,Enfield,Enfield,London,EPN
,E01001427,16777684.3,15436128.62,15980012.26,15188165.73,14954916.01,15280404.43,14918637.6,Enfield,Enfield,London,EPN
,E01001428,8995008.459,8223624.961,8541889.539,8093986.529,8031276.164,8246665.138,8019378.24,Enfield,Enfield,London,EPN
,E01001429,18525523.39,17438361.62,17732947.03,17330947.75,17232150.96,17565041.12,17213954.39,Enfield,Enfield,London,EPN
,E01001430,4341235.954,3934550.446,4071643.063,3899640.469,3877533.114,3970954.313,3878753.529,Enfield,Enfield,London,EPN
,E01001431,7967386.078,7296333.325,7553287.796,7209237.69,7157988.15,7326810.715,7158816.013,Enfield,Enfield,London,EPN
,E01001432,4871990.166,4446281.162,4617189.02,4371287.831,4324450.775,4426365.6,4326441.165,Enfield,Enfield,London,EPN
,E01001433,12097279.13,11262914.18,11639175.11,10994737.63,11023186.54,11321963.25,10865757.85,Enfield,Enfield,London,EPN
,E01001434,7251540.933,6728055.941,7014834.836,6560832.671,6465034.05,6623483.647,6464935.708,Enfield,Enfield,London,EPN
,E01001435,6494118.432,6008940.233,6284498.747,5849551.31,5756581.253,5913366.475,5757573.906,Enfield,Enfield,London,EPN
,E01001436,9048067.409,8373804.142,8751811.34,8153672.34,8029913.12,8248279.667,8026587.638,Enfield,Enfield,London,EPN
,E01001437,15422645.89,13145413.99,13617445.6,13041483.59,12819904.02,13084317.63,12909815.56,Enfield,Enfield,London,EPN
,E01001438,8400847.4,7728811.683,8055148.314,7567786.406,7462396.813,7658317.774,7465497.429,Enfield,Enfield,London,EPN
,E01001439,11946191.95,10851289.75,11246713.71,10669628.77,10570017.02,10805155.12,10545893.07,Enfield,Enfield,London,EPN
,E01001440,7935447.008,7283665.176,7593172.658,7107487.041,6993659.955,7172173.614,6995010.829,Enfield,Enfield,London,EPN
,E01001441,8280610.215,7615325.588,7892459.422,7477697.131,7373882.332,7546434.584,7379097.731,Enfield,Enfield,London,EPN
,E01001442,8746883.284,7920359.218,8172764.886,7814740.194,7747094.738,7885430.954,7745778.647,Enfield,Enfield,London,EPN
,E01001444,10624420.65,9964015.957,10361451.15,9661220.16,9618363.225,9891740.086,9503384.933,Enfield,Enfield,London,EPN
,E01001445,22948367.15,21000545.54,21812815.73,20546794.41,20257335.12,20648870.92,20250291.73,Enfield,Enfield,London,EPN
,E01001446,9668589.342,8946631.119,9341672.112,8713793.608,8583301.428,8798696.021,8576257.684,Enfield,Enfield,London,EPN
,E01001447,10457322.8,9539833.911,9915068.586,9390909.477,9291285.89,9522090.905,9299093.494,Enfield,Enfield,London,EPN
,E01001448,6840639.375,6283689.361,6544574.958,6150607.193,6065857.635,6212665.902,6068957.167,Enfield,Enfield,London,EPN
,E01001449,7351071.868,6765468.189,7059389.133,6611554.993,6520681.346,6688205.212,6521375.705,Enfield,Enfield,London,EPN
,E01001450,118024720.2,113042504.2,116869835.5,107302023.7,110424940.2,115827534.1,104957850.1,Enfield,Enfield,London,EPN
,E01001451,12122777.02,11202407.22,11738190.83,10834477.34,10647284.98,11080783.86,10588451.93,Enfield,Enfield,London,EPN
,E01001452,9484514.148,8830388.63,9322364.87,8564818.976,8356267.977,8826956.083,8356863.457,Enfield,Enfield,London,EPN
,E01001453,11930564.72,11156734.07,11684371.6,10795995.38,10632265.48,11080580.83,10559395.47,Enfield,Enfield,London,EPN
,E01001454,12565121.41,11744067.76,12313970.38,11406013.02,11200522.83,11703688.91,11159006.24,Enfield,Enfield,London,EPN
,E01001455,7461711.155,6953144.01,7279600.361,6743213.385,6626404.269,6805367.74,6621694.338,Enfield,Enfield,London,EPN
,E01001456,7023107.847,6528660.943,6860243.373,6322410.164,6200787.042,6409447.033,6200585.111,Enfield,Enfield,London,EPN
,E01001457,13666314.69,12593710.13,13111041.47,12277876.02,12077936.52,12307446.59,12081024.15,Enfield,Enfield,London,EPN
,E01001458,4111159.431,3739368.664,3871112.746,3696346.561,3669460.217,3761919.02,3668841.29,Enfield,Enfield,London,EPN
,E01001459,9183748.003,8520705.774,8894764.277,8309432.768,8153538.93,8399660.495,8154037.529,Enfield,Enfield,London,EPN
,E01001460,9315257.263,8470117.569,8782800.517,8344683.88,8251656.919,8461554.457,8253342.203,Enfield,Enfield,London,EPN
,E01001461,8419743.576,7692355.992,7962281.2,7589331.429,7539008.84,7716409.32,7529266.612,Enfield,Enfield,London,EPN
,E01001462,6997729.186,6447316.865,6699899.982,6331224.986,6250294.569,6422841.561,6250972.879,Enfield,Enfield,London,EPN
,E01001463,7250099.157,6733920.849,6998105.245,6568285.227,6508164.422,6661754.651,6481433.241,Enfield,Enfield,London,EPN
,E01001464,6850874.388,6251018.222,6521364.664,6131472.626,6074259.379,6260727.267,6062621.865,Enfield,Enfield,London,EPN
,E01001465,35797785.98,33802232.07,35331986.11,33079655.91,32113004.28,34165059.8,32118881.68,Enfield,Enfield,London,EPN
,E01001466,5028725.924,4609144.577,4826083.691,4521671.03,4458720.255,4626185.247,4460336.045,Enfield,Enfield,London,EPN
,E01001467,11500031.7,10631783.04,11211538.77,10433767.54,10212671.1,10839890.81,10213309.16,Enfield,Enfield,London,EPN
,E01001468,9986257.854,9180502.976,9549191.797,8922485.784,8805635.974,9029627.812,8754507.64,Enfield,Enfield,London,EPN
,E01001469,10050205.84,9349127.643,9779857.656,9126071.538,8978048.847,9277011.12,8983050.629,Enfield,Enfield,London,EPN
,E01001470,17786223.44,16699774.18,17436439.57,16280861.71,15884158.78,16554452.17,15888106.1,Enfield,Enfield,London,EPN
,E01001471,7835259.324,7195934.387,7486080.645,7019209.149,6910069.648,7073100.956,6898206.877,Enfield,Enfield,London,EPN
,E01001472,3652368.998,3387373.624,3537689.907,3303115.379,3242884.871,3366306.371,3236667.193,Enfield,Enfield,London,EPN
,E01001473,18462020.25,17362465.64,18099146.38,16973026.84,16563985.45,17290989.65,16565724.42,Enfield,Enfield,London,EPN
,E01001474,14775732.17,13801045.98,14405905.74,13441057.97,13191065.68,13485396.75,13213875.46,Enfield,Enfield,London,EPN
,E01001475,15627118.2,14672519.47,15328635.34,14304577.44,13979338.29,14547415.94,13980956.81,Enfield,Enfield,London,EPN
,E01001476,8007961.375,7381892.139,7693975.71,7214260.507,7116188.274,7300776.063,7116867.93,Enfield,Enfield,London,EPN
,E01001477,8327848.848,7652249.084,7961817.694,7517209.483,7431705.146,7638520.752,7432998.31,Enfield,Enfield,London,EPN
,E01001478,7507189.519,6960368.93,7260019.501,6790184.787,6688629.512,6859809.595,6690904.783,Enfield,Enfield,London,EPN
,E01001479,8791352.996,8033423.239,8382213.253,7870815.378,7769998.877,8002619.894,7769155.754,Enfield,Enfield,London,EPN
,E01001480,8193129.205,7597585.97,7909661.179,7434773.667,7324475.103,7540704.127,7324092.106,Enfield,Enfield,London,EPN
,E01001481,7041321.857,6492512.595,6793551.18,6325749.139,6227246.106,6401901.385,6229130.841,Enfield,Enfield,London,EPN
,E01001482,9816056.146,9061028.253,9394422.451,8852261.075,8823438.547,9030020.77,8753255.527,Enfield,Enfield,London,EPN
,E01001483,10536674.33,9740589.012,10196039.6,9602128.295,9481952.438,9972178.374,9474902.606,Enfield,Enfield,London,EPN
,E01001484,25053752.84,24177145.9,24708514.59,23466637.36,23724412.98,24164250.77,23149806.11,Enfield,Enfield,London,EPN
,E01001485,9321791.739,8551649.662,8865619.799,8415371.683,8332507.485,8522038.803,8333756.356,Enfield,Enfield,London,EPN
,E01001486,10050275.77,9108301.029,9462104.353,8979096.726,8902852.277,9124215.775,8903773.851,Enfield,Enfield,London,EPN
,E01001487,5232612.133,4796444.695,4986367.05,4711366.875,4658621.775,4769143.78,4661107.905,Enfield,Enfield,London,EPN
,E01001488,5870356.078,5418689.955,5640778.097,5311934.046,5233496.155,5384738.122,5234984.857,Enfield,Enfield,London,EPN
,E01001489,9342921.756,8571673.006,8920691.745,8393662.611,8286324.637,8491561.501,8286911.924,Enfield,Enfield,London,EPN
,E01001491,10081519.35,9280459.456,9636207.987,9117228.895,8999760.941,9239887.393,9001420.007,Enfield,Enfield,London,EPN
,E01001492,9459260.34,8706055.573,9073991.247,8514562.445,8404229.823,8616927.868,8404284.421,Enfield,Enfield,London,EPN
,E01001493,9404716.171,8613374.471,8956245.521,8443541.324,8346374.981,8541550.29,8342837.79,Enfield,Enfield,London,EPN
,E01001494,6868009.75,6384264.5,6680170.464,6204295.618,6099362.261,6267178.998,6100521.046,Enfield,Enfield,London,EPN
,E01001495,5499824.821,5039582.59,5253254.827,4916530.949,4843853.526,4953510.637,4842046.288,Enfield,Enfield,London,EPN
,E01001496,8552835.635,7954722.499,8320903.148,7727388.678,7595961.968,7799109.449,7595305.461,Enfield,Enfield,London,EPN
,E01001497,7919078.174,7338984.304,7681006.177,7141266.746,7049470.262,7285943.787,7025542.02,Enfield,Enfield,London,EPN
,E01001498,7602201.307,6862616.48,7096777.051,6718859.682,6666882.692,6805253.263,6631121.544,Enfield,Enfield,London,EPN
,E01001499,10672650.14,9952415.714,10376449.03,9677989.612,9545787.789,9875812.883,9492723.325,Enfield,Enfield,London,EPN
,E01001500,8697226.751,8069952.663,8435120.921,7887705.985,7745824.127,8010528.633,7757045.502,Enfield,Enfield,London,EPN
,E01001501,15740544.13,14537020.71,15107267.11,14255213.24,14049562.31,14485532.72,14026096.71,Enfield,Enfield,London,EPN
,E01001502,9876995.966,8972344.612,9348353.209,8786527.569,8664483.713,8907474.207,8662227.376,Enfield,Enfield,London,EPN
,E01001503,8633765.916,7961816.941,8293276.03,7787543.605,7683086.368,7872910.966,7685367.778,Enfield,Enfield,London,EPN
,E01001504,6792158.464,6240655.92,6525825.42,6090978.668,5995858.988,6158684.835,6000529.302,Enfield,Enfield,London,EPN
,E01001505,9041115.164,8326040.753,8652119.349,8168124.141,8066976.664,8255377.673,8070514.182,Enfield,Enfield,London,EPN
,E01001506,8434280.209,7699282.078,8003463.4,7567849.437,7485540.917,7680850.786,7482851.423,Enfield,Enfield,London,EPN
,E01001507,12320152.51,11259261.41,11653216.91,11072976.9,10959199.89,11185876.2,10948496.56,Enfield,Enfield,London,EPN
,E01001508,5963388.368,5461788.025,5662002.876,5354733.138,5293768.581,5389989.556,5288189.263,Enfield,Enfield,London,EPN
,E01001509,5829535.684,5398894.987,5578298.478,5311544.677,5254349.057,5339783.299,5259251.682,Enfield,Enfield,London,EPN
,E01001510,5689101.007,5141413.684,5275957.965,5130857.46,5087621.91,5167379.989,5108109.222,Enfield,Enfield,London,EPN
,E01001511,14538819.48,13514577.38,14110282.36,13214455.84,13001935.01,13462373.2,12981111.91,Enfield,Enfield,London,EPN
,E01001512,28945397.95,27781355.16,28487654.72,26403714.02,27309077.95,27976204.28,25952654.11,Enfield,Enfield,London,EPN
,E01001513,13428624.84,12491295.94,12977728.5,12141335.06,12099677.24,12546173.85,11924211.2,Enfield,Enfield,London,EPN
,E01001514,5032041.269,4646841.611,4841810.906,4538421.369,4472814.179,4575146.66,4474205.949,Enfield,Enfield,London,EPN
,E01001515,14791432.9,13630968.84,14113713.62,13410412.7,13328763.28,13647754.31,13278120.55,Enfield,Enfield,London,EPN
,E01001516,12065922.67,11218043.87,11672127.64,10886651.32,10888805.86,11257737.66,10714376.02,Enfield,Enfield,London,EPN
,E01001517,10725306.68,9781054.361,10129875.92,9656884.729,9544868.872,9800691.775,9548704.712,Enfield,Enfield,London,EPN
,E01001518,9714980.404,9022216.067,9414884.781,8801326.407,8634382.088,8903885.039,8642297.52,Enfield,Enfield,London,EPN
,E01001519,17512377.68,15861458.97,16411955.59,15567007.57,15426036.6,15814280.98,15340841.3,Enfield,Enfield,London,EPN
,E01001520,10968166.82,10163832.73,10592822.71,9877468.975,9768296.851,10041840.46,9698528.038,Enfield,Enfield,London,EPN
,E01001521,6129213.801,5661217.784,5916196.706,5521305.587,5435707.625,5597896.722,5438140.053,Enfield,Enfield,London,EPN
,E01001522,8949034.992,8393081.398,8708288.843,8194101.96,8095483.708,8292698.173,8079023.899,Enfield,Enfield,London,EPN
,E01001523,10340878.35,9582802.029,10058777.5,9308015.598,9148336.283,9495064.989,9134225.143,Enfield,Enfield,London,EPN
,E01001524,8605064.63,8029145.758,8348435.307,7822954.742,7732696.162,7940562.359,7702951.006,Enfield,Enfield,London,EPN
,E01001525,10239720.21,9459506.3,9888369.552,9247021.06,9081406.8,9350270.13,9103885.616,Enfield,Enfield,London,EPN
,E01001526,8570572.407,7965700.843,8343242.81,7721531.892,7596932.22,7845666.93,7580397.171,Enfield,Enfield,London,EPN
,E01001527,8110207.907,7432162.789,7743643.823,7232478.99,7139471.65,7306865.094,7114450.71,Enfield,Enfield,London,EPN
,E01001528,7871983.693,7159040.772,7447968.141,7075652.952,6992781.733,7225468.297,7007241.112,Enfield,Enfield,London,EPN
,E01001529,8100527.562,7387370.598,7669451.508,7303735.376,7227051.642,7433058.562,7237273.143,Enfield,Enfield,London,EPN
,E01001530,8562513.918,7944653.917,8277166.191,7753442.198,7638985.787,7807901.399,7641560.892,Enfield,Enfield,London,EPN
,E01001531,1008333.627,928934.9116,1008333.627,910651.8042,882468.5022,1008333.627,882468.5022,Enfield,Enfield,London,EPN
,E01001532,8174611.832,7473111.15,7837117.754,7263391.422,7120803.743,7426415.646,7109581.642,Enfield,Enfield,London,EPN
,E01001533,7637382.472,7161824.66,7506432.777,6956123.324,6775892.676,7095905.447,6778703.284,Enfield,Enfield,London,EPN
,E01001534,8779943.804,8077221.99,8491172.745,7850157.577,7713809.436,7992245.666,7715376.547,Enfield,Enfield,London,EPN
,E01001535,8864057.45,8141790.907,8557246.366,7898363.828,7746574.61,8037730.96,7737734.246,Enfield,Enfield,London,EPN
,E01001536,12833108.63,11718752.71,12249654.22,11427347.47,11220370.47,11523786.95,11227131.83,Enfield,Enfield,London,EPN
,E01001537,10676825.04,9964660.927,10365732.93,9729772.323,9544448.194,9833866.712,9536908.911,Enfield,Enfield,London,EPN
,E01001538,7790770.682,7258803.527,7614935.789,7027882.136,6893612.589,7081781.53,6894824.072,Enfield,Enfield,London,EPN
,E01001539,8080141.037,7517920.684,7858928.502,7302602.97,7183957.611,7373716.864,7179896.366,Enfield,Enfield,London,EPN
,E01001540,13715042.89,12443201.3,12960713.47,12150885.93,11953241.61,12202716.03,11968742.75,Enfield,Enfield,London,EPN
,E01001541,8503031,7943605.287,8300116.119,7716876.94,7581812.84,7755448.099,7585105.415,Enfield,Enfield,London,EPN
,E01001542,9263979.37,8535335.989,8886544.096,8341187.494,8209364.592,8395622.434,8217484.263,Enfield,Enfield,London,EPN
,E01001543,7071565.132,6570396.316,6892752.821,6362754.094,6244558.901,6425867.177,6239274.185,Enfield,Enfield,London,EPN
,E01001544,15960853.13,14586785.19,15677123.17,14179091.27,13867356.06,15090694.16,13824929.66,Enfield,Enfield,London,EPN
,E01001545,9029884.635,8115564.082,8454638.391,8005681.41,7920462.014,8122664.508,7935425.989,Enfield,Enfield,London,EPN
,E01001546,8557888.719,7874594.162,8220527.477,7692958.795,7579221.434,7786098.938,7585098.729,Enfield,Enfield,London,EPN
,E01001547,11494869.42,10601083.99,11026739.26,10325288.73,10213954.33,10452366.2,10167018.34,Enfield,Enfield,London,EPN
,E01001548,8531925.215,7886148.545,8197077.04,7722242.048,7623692.508,7800048.72,7625517.865,Enfield,Enfield,London,EPN
,E01001549,12899430.13,11587687.21,12003794.89,11432072.41,11326697.2,11558143.41,11332610.32,Enfield,Enfield,London,EPN
,E01001550,8061200.73,7444468.472,7736189.11,7293810.216,7200869.828,7379127.036,7196506.161,Enfield,Enfield,London,EPN
,E01001551,9692272.552,8895898.539,9262936.278,8738664.453,8631631.333,8865067.935,8638578.464,Enfield,Enfield,London,EPN
,E01001552,9130472.4,8464460.128,8843226.802,8244343.706,8113599.025,8333141.996,8116569.668,Enfield,Enfield,London,EPN
,E01001553,6706340.366,6099084.461,6340404.58,6010003.757,5957690.452,6116110.918,5957224.559,Enfield,Enfield,London,EPN
,E01001554,6235729.528,5547352.919,5738062.859,5482529.14,5416803.4,5570063.602,5417481.206,Enfield,Enfield,London,EPN
,E01001555,10357624.37,9381234.085,9747530.508,9196867.093,9085382.698,9313882.679,9079401.701,Enfield,Enfield,London,EPN
,E01001556,7984237.03,7433229.849,7759271.588,7242420.949,7118547.602,7313729.207,7119204.379,Enfield,Enfield,London,EPN
,E01001557,7236539.789,6639325.894,6904825.761,6518949.292,6446874.932,6605671.066,6448829.79,Enfield,Enfield,London,EPN
,E01001558,9022483.073,8210656.025,8578826.289,8112060.543,8004759.514,8340962.108,8019280.757,Enfield,Enfield,London,EPN
,E01001559,13917365.85,12934768.89,13392164.85,12631555.64,12621516,12965931.27,12470869.19,Enfield,Enfield,London,EPN
,E01001560,7617490.398,7002002.372,7310156.035,6851149.213,6750446.456,6954661.757,6751135.781,Enfield,Enfield,London,EPN
,E01001562,10666345.18,9711223.164,10067249.13,9635329.521,9568295.88,9851988.685,9570699.933,Enfield,Enfield,London,EPN
,E01001563,9096648.833,8416893.948,8774272.036,8205460.523,8077948.04,8268008.651,8076096.256,Enfield,Enfield,London,EPN
,E01001564,9050076.485,8415413.717,8798433.598,8178975.916,8040729.131,8243690.709,8039944.348,Enfield,Enfield,London,EPN
,E01001565,9563243.618,8866766.052,9253111.432,8645064.054,8510997.373,8726200.429,8515662.835,Enfield,Enfield,London,EPN
,E01001566,10070374.11,9274273.668,9759358.789,8991703.102,8824183.075,9181828.797,8822065.039,Enfield,Enfield,London,EPN
,E01001567,8550175.469,7938255.149,8332736.593,7696508.929,7549202.572,7792069.806,7552502.996,Enfield,Enfield,London,EPN
,E01001568,7717982.5,7155607.101,7546143.684,6913862.072,6769532.542,7031952.505,6772090.336,Enfield,Enfield,London,EPN
,E01001569,11387541.87,10352093.23,10797558.84,10120082.08,9977919.204,10259854.75,9971131.784,Enfield,Enfield,London,EPN
,E01001570,10933641.88,10136291.79,10591885.47,9888527.767,9705099.601,10047039.49,9709071.859,Enfield,Enfield,London,EPN
,E01001571,10241708.15,9575765.761,9961483.186,9349275.902,9184444.088,9474223.525,9177012.267,Greenwich,Greenwich,London,LPN
,E01001572,10562995.02,9773000.338,10262595.93,9551282.671,9378524.215,9802366.454,9382191.914,Greenwich,Greenwich,London,LPN
,E01001573,6465165.598,5983027.296,6241957.953,5835593.61,5748205.306,5889474.511,5749739.307,Greenwich,Greenwich,London,LPN
,E01001574,12639724.88,11578195.48,12065566.35,11435731.94,11284735.04,11752777.82,11287092.29,Greenwich,Greenwich,London,LPN
,E01001575,9350316.296,8538621.856,8898451.98,8412834.113,8314894.358,8602037.624,8319094.261,Greenwich,Greenwich,London,LPN
,E01001576,9857303.163,9040314.717,9357079.442,8909421.958,8825438.622,9065909.41,8805408.842,Greenwich,Greenwich,London,LPN
,E01001577,12327064.08,11362103.43,11881732.33,11076931.48,11078499.32,11582263.78,10917814.17,Greenwich,Greenwich,London,LPN
,E01001578,19659164.76,18375804.63,19133193.22,18020789.45,17853264.95,18603215.35,17752812.36,Greenwich,Greenwich,London,LPN
,E01001579,31405650.2,29666076.97,30803693.26,29092906.42,28313161.65,29750092.44,28315904.74,Greenwich,Greenwich,London,LPN
,E01001580,15138750.93,14068043.69,14607213.29,13736154.41,13514617.04,13761343.88,13509974.8,Greenwich,Greenwich,London,LPN
,E01001581,14027903.34,12995427.12,13559333.49,12743682.5,12446995.75,13084470.32,12455024.64,Greenwich,Greenwich,London,LPN
,E01001582,8900668.93,8242284.949,8593960.672,8076064.332,7940689.596,8165540.528,7951084.131,Greenwich,Greenwich,London,LPN
,E01001583,13760557.5,12804998.74,13313496.3,12522641.02,12305171.28,12556258.84,12325137.61,Greenwich,Greenwich,London,LPN
,E01001584,12409580.34,11418913.25,11938373.81,11131618.56,10913451.23,11234190.74,10925919.65,Greenwich,Greenwich,London,LPN
,E01001585,10248475.55,9543248.55,10000000.73,9320285.675,9083757.698,9630305.252,9081988.462,Greenwich,Greenwich,London,LPN
,E01001586,15232638.18,14100464.69,14704995.23,13837032.86,13560565,14187163.98,13571615.07,Greenwich,Greenwich,London,LPN
,E01001587,27983306.77,26011331.56,27290275.32,25640539.96,24791918.3,26108601.74,25064749.45,Greenwich,Greenwich,London,LPN
,E01001588,12782237.15,11761376.84,12153616.51,11582615.12,11497621.99,11710277.91,11467985.29,Greenwich,Greenwich,London,LPN
,E01001589,9919121.308,9054444.609,9378020.285,8915058.773,8822007.229,8993676.029,8820299.377,Greenwich,Greenwich,London,LPN
,E01001590,10440798.36,9648794.441,10006232.52,9464974.999,9338388.845,9501971.545,9347105.897,Greenwich,Greenwich,London,LPN
,E01001591,11213057.96,10227752.27,10547562.16,10153367.91,10043567.4,10214608.45,10076889.26,Greenwich,Greenwich,London,LPN
,E01001592,11818087.39,11074736.18,11472626.11,10747116.09,10712726.76,10945708.14,10581231.23,Greenwich,Greenwich,London,LPN
,E01001593,10671538.32,9943962.898,10353490.54,9685570.31,9537265.769,9761076.917,9524659.272,Greenwich,Greenwich,London,LPN
,E01001594,11362231.15,10469030.71,10799313.87,10319631.12,10177977.88,10442455.38,10172772.57,Greenwich,Greenwich,London,LPN
,E01001595,9786360.91,9077700.556,9416784.501,8911231.287,8772132.579,9056149.485,8769358.253,Greenwich,Greenwich,London,LPN
,E01001596,8870414.812,8238178.518,8660867.738,7973860.305,7816071.001,8071340.21,7820579.189,Greenwich,Greenwich,London,LPN
,E01001597,11635914.67,10813839.4,11312903.61,10507912.88,10359959.16,10705666.29,10310535.59,Greenwich,Greenwich,London,LPN
,E01001598,10123158.24,9417385.151,9906965.825,9139933.943,8936533.663,9385887.29,8939500.656,Greenwich,Greenwich,London,LPN
,E01001599,8496236.331,7833739.504,8228162.162,7597449.385,7463099.366,7706944.802,7457870.676,Greenwich,Greenwich,London,LPN
,E01001600,8453718.929,7812743.262,8172433.326,7599451.952,7468418.771,7660424.767,7471553.137,Greenwich,Greenwich,London,LPN
,E01001601,8132469.198,7532521.598,7919079.687,7291344.3,7151156.072,7374261.307,7149496.499,Greenwich,Greenwich,London,LPN
,E01001602,9480508.345,8682742.703,9050735.706,8524490.594,8424407.71,8677053.421,8426438.612,Greenwich,Greenwich,London,LPN
,E01001603,9563654.456,8733938.307,9071384.541,8598371.375,8529075.139,8764751.33,8513122.524,Greenwich,Greenwich,London,LPN
,E01001604,7841548.712,7264715.209,7610104.982,7062465.944,6933547.553,7131177.173,6941439.38,Greenwich,Greenwich,London,LPN
,E01001605,9292331.469,8648062.736,9118737.799,8381215.723,8223311.991,8605592.412,8207242.605,Greenwich,Greenwich,London,LPN
,E01001606,9421650.738,8823786.562,9228592.815,8572154.696,8393779.588,8657075.33,8396455.218,Greenwich,Greenwich,London,LPN
,E01001607,12635882.01,11712516.19,12363793.14,11448918.21,11218153.24,11884237.38,11223477.37,Greenwich,Greenwich,London,LPN
,E01001608,8383788.823,7785058.609,8152525.6,7559929.846,7429105.984,7635142.977,7428693.5,Greenwich,Greenwich,London,LPN
,E01001609,12175428.18,11237798.15,11639344.9,10987310.25,10879288.18,11110339.69,10842694.13,Greenwich,Greenwich,London,LPN
,E01001610,10360538.67,9582195.223,10071822.8,9322278.485,9164594.828,9518769.122,9154907.178,Greenwich,Greenwich,London,LPN
,E01001611,9655439.72,8929813.472,9302565.167,8732964.4,8606596.259,8814381.348,8614453.599,Greenwich,Greenwich,London,LPN
,E01001613,13277391.27,12353541.03,12857368.87,12056399.77,11861968.96,12073032.79,11875193.9,Greenwich,Greenwich,London,LPN
,E01001614,13838568.56,12998493.37,13551102.46,12663267.4,12374729.07,12863449.74,12374453.46,Greenwich,Greenwich,London,LPN
,E01001615,18386492.82,17008754.47,17637085.54,16602981.06,16389503.79,16675572.2,16338368.04,Greenwich,Greenwich,London,LPN
,E01001617,10575398.79,9790444.228,10219846.51,9511431.755,9360114.407,9576456.174,9349964.55,Greenwich,Greenwich,London,LPN
,E01001618,9888170.119,9133973.769,9546809.708,8904068.738,8755350.72,9007453.444,8758332.114,Greenwich,Greenwich,London,LPN
,E01001619,13530890.96,12600679.91,13123843.32,12282502.09,12089560.25,12392218.02,12083105.16,Greenwich,Greenwich,London,LPN
,E01001620,7891858.386,7238222.185,7529433.501,7119156.293,7040060.541,7243072.44,7040749.215,Greenwich,Greenwich,London,LPN
,E01001621,9001171.667,8260112.206,8624543.357,8165416.29,8013676.348,8272418.942,8078991.68,Greenwich,Greenwich,London,LPN
,E01001623,9591106.867,8883094.462,9210457.338,8722020.233,8594459.106,8762001.261,8597628.408,Greenwich,Greenwich,London,LPN
,E01001624,6728893.473,6081824.298,6508414.573,6208342.041,5865211.284,6254067.808,6148815.946,Greenwich,Greenwich,London,LPN
,E01001625,9159751.989,8390607.816,8695992.123,8258683.564,8171542.019,8353179.732,8161832.909,Greenwich,Greenwich,London,LPN
,E01001629,12042596.18,10954320.84,11294405.81,10849666.12,10790596.23,11000957.98,10782206.58,Greenwich,Greenwich,London,LPN
,E01001631,10534825.94,9416013.825,9704941.442,9378748.492,9271493.021,9440156.308,9308598.677,Greenwich,Greenwich,London,LPN
,E01001632,4573763.727,4169617.563,4332751.52,4096048.738,4054693.4,4144378.392,4053776.762,Greenwich,Greenwich,London,LPN
,E01001633,9351156.317,8570488.516,8846250.357,8466491.34,8408901.993,8575590.812,8399272.784,Greenwich,Greenwich,London,LPN
,E01001634,9014884.279,8168149.042,8433748.504,8103483.988,8054110.978,8249645.885,8049128.08,Greenwich,Greenwich,London,LPN
